,count,unique,top,freq,mean,min,25%,50%,75%,max,std
nome_estacao,113973,1,ESTAÇÃO BANGU,113973,,,,,,,
codnum,113973.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0
data,113973,,,,2018-07-02 13:30:00,2012-01-01 03:30:00,2015-04-02 08:30:00,2018-07-02 13:30:00,2021-10-01 18:30:00,2024-12-31 23:30:00,
ano,113973.0,,,,2018.0001579321417,2012.0,2015.0,2018.0,2021.0,2024.0,3.7422717158866754
mes,113973.0,,,,6.522360559079782,1.0,4.0,7.0,10.0,12.0,3.4488433233689637
dia,113973.0,,,,15.732120765444447,1.0,8.0,16.0,23.0,31.0,8.800806929093568
data_dia,113973,4749,2024-12-31,24,,,,,,,
chuva,109966.0,,,,0.14817307167670007,0.0,0.0,0.0,0.0,69.4,1.3483294589600592
temp,83691.0,,,,26.734503769819938,12.83,23.32,26.17,29.68,44.67,4.757455843531847
ur,97822.0,,,,71.58754819979146,13.08,56.25,72.63,89.05,99.9,20.39950471777436
co,76719.0,,,,0.3661048762366559,0.0,0.22,0.33,0.47,3.05,0.22552062508023865
no,98097.0,,,,5.979755497110003,0.0,1.92,3.52,6.46,188.23,8.633196589635682
no2,97924.0,,,,22.672732731506066,0.0,11.64,19.02,29.56,172.88,15.461737972523025
nox,97930.0,,,,28.625230062289393,0.0,14.56,22.93,36.13,233.65,20.902670470613945
so2,87889.0,,,,3.5120755725972534,0.0,0.96,2.79,4.87,221.34,4.197221127846858
o3,106644.0,,,,45.89563205618694,0.0,19.72,39.91,63.93,290.64,34.649041849316895
pm10,105004.0,,,,36.119433545388745,0.0,20.0,31.0,47.0,473.0,24.551131398264896
pm2_5,0.0,,,,,,,,,,
lat,113973.0,,,,-22.887909589999996,-22.88790959,-22.88790959,-22.88790959,-22.88790959,-22.88790959,3.5527292646719685e-15
lon,113973.0,,,,-43.47107415,-43.47107415,-43.47107415,-43.47107415,-43.47107415,-43.47107415,0.0
