,count,unique,top,freq,mean,min,25%,50%,75%,max,std
nome_estacao,113976,1,ESTAÇÃO CENTRO,113976,,,,,,,
codnum,113976.0,,,,3.0,3.0,3.0,3.0,3.0,3.0,0.0
data,113976,,,,2018-07-02 12:00:00,2012-01-01 00:30:00,2015-04-02 06:15:00,2018-07-02 12:00:00,2021-10-01 17:45:00,2024-12-31 23:30:00,
ano,113976.0,,,,2018.0,2012.0,2015.0,2018.0,2021.0,2024.0,3.7423490716139836
mes,113976.0,,,,6.522215203200674,1.0,4.0,7.0,10.0,12.0,3.4489143045725434
dia,113976.0,,,,15.731732996420298,1.0,8.0,16.0,23.0,31.0,8.801015648631344
data_dia,113976,4749,2012-01-01,24,,,,,,,
chuva,101761.0,,,,0.11875374652371734,0.0,0.0,0.0,0.0,65.6,1.0310480437485214
temp,88130.0,,,,25.54560694428685,0.0,22.47,25.1,28.15,44.3,4.309522213693875
ur,87987.0,,,,70.50567362223966,0.0,59.22,72.98,83.53,100.0,16.782799906598875
co,104514.0,,,,0.38922426660543086,0.0,0.24,0.35,0.49,3.92,0.2459798837446897
no,0.0,,,,,,,,,,
no2,0.0,,,,,,,,,,
nox,0.0,,,,,,,,,,
so2,0.0,,,,,,,,,,
o3,104874.0,,,,25.739789318610907,0.0,6.86,19.14,38.23,304.55,24.087322515266386
pm10,99498.0,,,,34.56233793644093,0.0,21.0,31.0,44.0,994.0,22.059417571282417
pm2_5,0.0,,,,,,,,,,
lat,113976.0,,,,-22.908344280000005,-22.90834428,-22.90834428,-22.90834428,-22.90834428,-22.90834428,3.552729264261725e-15
lon,113976.0,,,,-43.17815176,-43.17815176,-43.17815176,-43.17815176,-43.17815176,-43.17815176,0.0
