,count,unique,top,freq,mean,min,25%,50%,75%,max,std
nome_estacao,113976,1,ESTAÇÃO COPACABANA,113976,,,,,,,
codnum,113976.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0
data,113976,,,,2018-07-02 12:00:00,2012-01-01 00:30:00,2015-04-02 06:15:00,2018-07-02 12:00:00,2021-10-01 17:45:00,2024-12-31 23:30:00,
ano,113976.0,,,,2018.0,2012.0,2015.0,2018.0,2021.0,2024.0,3.7423490716139836
mes,113976.0,,,,6.522215203200674,1.0,4.0,7.0,10.0,12.0,3.4489143045725434
dia,113976.0,,,,15.731732996420298,1.0,8.0,16.0,23.0,31.0,8.801015648631344
data_dia,113976,4749,2012-01-01,24,,,,,,,
chuva,86161.0,,,,0.16223047550515896,0.0,0.0,0.0,0.0,197.87,2.589219855841929
temp,85805.0,,,,25.318512732358258,0.0,22.45,24.88,27.6,42.98,4.023442126628711
ur,85637.0,,,,74.25791118325023,13.78,64.63,75.88,85.42,100.0,15.04541233727374
co,72362.0,,,,0.13485351427544845,0.0,0.03,0.07,0.16,3.08,0.19688755117722215
no,0.0,,,,,,,,,,
no2,0.0,,,,,,,,,,
nox,0.0,,,,,,,,,,
so2,64918.0,,,,3.4111821066576296,0.0,0.61,1.79,4.14,124.3,4.9913308519316075
o3,98513.0,,,,22.41325266716068,0.0,8.73,19.33,32.06,228.61,17.61626147472735
pm10,92525.0,,,,49.164712239935156,0.0,33.0,46.0,61.0,296.0,22.712146385478885
pm2_5,0.0,,,,,,,,,,
lat,113976.0,,,,-22.96500372999999,-22.96500373,-22.96500373,-22.96500373,-22.96500373,-22.96500373,1.0658187792785176e-14
lon,113976.0,,,,-43.18048165000001,-43.18048165,-43.18048165,-43.18048165,-43.18048165,-43.18048165,1.42109170570469e-14
