,count,unique,top,freq,mean,min,25%,50%,75%,max,std
nome_estacao,113973,1,ESTAÇÃO IRAJÁ,113973,,,,,,,
codnum,113973.0,,,,5.0,5.0,5.0,5.0,5.0,5.0,0.0
data,113973,,,,2018-07-02 13:30:00,2012-01-01 03:30:00,2015-04-02 08:30:00,2018-07-02 13:30:00,2021-10-01 18:30:00,2024-12-31 23:30:00,
ano,113973.0,,,,2018.0001579321417,2012.0,2015.0,2018.0,2021.0,2024.0,3.7422717158866754
mes,113973.0,,,,6.522360559079782,1.0,4.0,7.0,10.0,12.0,3.4488433233689637
dia,113973.0,,,,15.732120765444447,1.0,8.0,16.0,23.0,31.0,8.800806929093568
data_dia,113973,4749,2024-12-31,24,,,,,,,
chuva,111489.0,,,,0.20240472154203554,0.0,0.0,0.0,0.0,163.5,3.5026747460734606
temp,88250.0,,,,27.12959745042493,6.22,23.55,26.55,30.2,46.38,5.069500994697061
ur,81716.0,,,,69.42373555974349,0.0,55.0,70.88,84.78,100.0,19.603505455404676
co,99688.0,,,,0.4536759690233529,0.0,0.28,0.39,0.55,4.62,0.2958607414328286
no,105694.0,,,,17.174925870910364,0.0,3.0,6.62,16.21,640.38,32.45813109308548
no2,105707.0,,,,38.17859413283888,0.0,23.52,34.58,48.625,211.81,20.442085999071484
nox,105721.0,,,,55.36813622648291,0.0,28.1,42.7,66.81,702.67,45.650694666426645
so2,76776.0,,,,4.536040624674378,0.0,0.89,3.13,6.01,309.13,6.547075974586804
o3,102320.0,,,,35.686481186473806,0.0,10.28,27.42,50.75,355.45,33.2987248612547
pm10,109738.0,,,,35.77414386994478,0.0,20.0,31.0,45.0,409.0,23.400564885513006
pm2_5,99014.0,,,,16.515745248146725,0.0,7.0,13.0,22.0,370.0,14.40380447239066
lat,113973.0,,,,-22.8316208,-22.8316208,-22.8316208,-22.8316208,-22.8316208,-22.8316208,0.0
lon,113973.0,,,,-43.326844699999995,-43.3268447,-43.3268447,-43.3268447,-43.3268447,-43.3268447,7.105458529343937e-15
