,count,unique,top,freq,mean,min,25%,50%,75%,max,std
nome_estacao,113976,1,ESTAÇÃO SÃO CRISTÓVÃO,113976,,,,,,,
codnum,113976.0,,,,7.0,7.0,7.0,7.0,7.0,7.0,0.0
data,113976,,,,2018-07-02 12:00:00,2012-01-01 00:30:00,2015-04-02 06:15:00,2018-07-02 12:00:00,2021-10-01 17:45:00,2024-12-31 23:30:00,
ano,113976.0,,,,2018.0,2012.0,2015.0,2018.0,2021.0,2024.0,3.7423490716139836
mes,113976.0,,,,6.522215203200674,1.0,4.0,7.0,10.0,12.0,3.4489143045725434
dia,113976.0,,,,15.731732996420298,1.0,8.0,16.0,23.0,31.0,8.801015648631344
data_dia,113976,4749,2012-01-01,24,,,,,,,
chuva,93363.0,,,,0.10541220826237373,0.0,0.0,0.0,0.0,55.0,0.9326932510940574
temp,84238.0,,,,25.96203310857333,0.0,22.98,25.87,29.13,49.08,5.905316523489765
ur,80383.0,,,,71.11845222248485,0.0,59.88,73.75,85.7,100.0,19.961013756307462
co,81227.0,,,,0.22871717532347616,0.0,0.07,0.13,0.26,4.73,0.3240376787147711
no,0.0,,,,,,,,,,
no2,0.0,,,,,,,,,,
nox,0.0,,,,,,,,,,
so2,79871.0,,,,8.227368694519912,0.0,2.6,5.45,10.2,152.99,9.73816608357814
o3,92237.0,,,,26.27382151414291,0.0,3.83,17.19,40.55,284.44,28.061539950022713
pm10,88459.0,,,,33.04033507048463,0.0,19.0,28.0,42.0,338.0,20.895946383542004
pm2_5,0.0,,,,,,,,,,
lat,113976.0,,,,-22.897771089999996,-22.89777109,-22.89777109,-22.89777109,-22.89777109,-22.89777109,3.552729264261725e-15
lon,113976.0,,,,-43.22174540999999,-43.22174541,-43.22174541,-43.22174541,-43.22174541,-43.22174541,7.10545852852345e-15
