,count,unique,top,freq,mean,min,25%,50%,75%,max,std
nome_estacao,113976,1,ESTAÇÃO TIJUCA,113976,,,,,,,
codnum,113976.0,,,,8.0,8.0,8.0,8.0,8.0,8.0,0.0
data,113976,,,,2018-07-02 12:00:00,2012-01-01 00:30:00,2015-04-02 06:15:00,2018-07-02 12:00:00,2021-10-01 17:45:00,2024-12-31 23:30:00,
ano,113976.0,,,,2018.0,2012.0,2015.0,2018.0,2021.0,2024.0,3.7423490716139836
mes,113976.0,,,,6.522215203200674,1.0,4.0,7.0,10.0,12.0,3.4489143045725434
dia,113976.0,,,,15.731732996420298,1.0,8.0,16.0,23.0,31.0,8.801015648631344
data_dia,113976,4749,2012-01-01,24,,,,,,,
chuva,108457.0,,,,0.14468121006481832,0.0,0.0,0.0,0.0,197.04,2.169854560659492
temp,107386.0,,,,24.828251960218278,11.32,20.68,23.92,28.02,49.16,5.721382690558685
ur,107249.0,,,,65.00934577478577,10.33,51.67,66.88,79.17,99.91,19.084087450662146
co,83763.0,,,,0.42473604097274453,0.0,0.26,0.39,0.54,12.08,0.2587326227699078
no,81055.0,,,,13.50472537166122,0.0,4.07,8.8,17.155,253.92,15.507437057331895
no2,81167.0,,,,39.19588847684404,0.0,21.73,35.13,51.885000000000005,235.93,23.553259920402756
nox,81180.0,,,,52.53914344666174,0.0,28.64,45.55,68.33,418.47,33.915799360843664
so2,80393.0,,,,3.7536687895712313,0.0,0.82,2.105,4.33,159.82,5.633307268922554
o3,104970.0,,,,30.167170096217966,0.0,12.24,25.04,41.48,295.49,24.525872645859554
pm10,108754.0,,,,31.917878882615813,0.0,20.0,28.0,40.0,310.0,18.235826869577263
pm2_5,0.0,,,,,,,,,,
lat,113976.0,,,,-22.924915339999988,-22.92491534,-22.92491534,-22.92491534,-22.92491534,-22.92491534,1.0658187792785176e-14
lon,113976.0,,,,-43.23265651999999,-43.23265652,-43.23265652,-43.23265652,-43.23265652,-43.23265652,7.10545852852345e-15
