,count,mean,min,25%,50%,75%,max,std
data_dia,4749,2018-07-02 00:00:00.000000256,2012-01-01 00:00:00,2015-04-02 00:00:00,2018-07-02 00:00:00,2021-10-01 00:00:00,2024-12-31 00:00:00,
ano,4749.0,2018.0,2012.0,2015.0,2018.0,2021.0,2024.0,3.74272672924967
mes,4749.0,6.522215203200674,1.0,4.0,7.0,10.0,12.0,3.449262350357965
dia,4749.0,15.731732996420298,1.0,8.0,16.0,23.0,31.0,8.801903799548828
chuva,4749.0,3.115334175615919,0.0,0.0,0.05,1.875,427.5,12.482548328422839
temp,4725.0,26.00893693121693,15.93,23.601,25.924,28.433,35.825,3.361980464514573
ur,4725.0,71.5880673015873,31.164,64.641,71.643,78.486,98.896,10.732352095265028
co,4723.0,0.36004848613169593,0.081,0.269,0.338,0.418,1.475,0.13423014043327264
no,4725.0,13.950627936507937,1.643,7.28,11.031,17.012,78.615,10.162804204910577
no2,4725.0,32.6606344973545,6.719,24.425,31.192,38.916,88.312,11.665141873189084
nox,4725.0,46.57194603174603,11.154,32.833,42.56,55.475,157.714,19.869892373237846
so2,4488.0,4.832719474153298,0.0,2.9202500000000002,4.5184999999999995,6.2452499999999995,19.414,2.584853347940335
o3,4726.0,34.118525603046976,4.288,25.61825,33.0,41.12075,95.22,12.032968913678179
pm10,4726.0,35.609001692763435,8.634,25.81825,32.687,43.195,113.445,13.766556004443858
pm2_5,4271.0,16.489445563099977,0.0,9.125,14.353,21.0605,92.229,10.661524409778504
AQI,4728.0,33.90672588832487,9.0,25.0,31.0,40.0,154.0,13.198232040162994
Qualidade_do_Ar,4728.0,1.254864636209814,1.0,1.0,1.0,1.0,4.0,0.4534353074409805
