data_dia,AQI,Qualidade_do_Ar
2012-01-01,18,N1 - Boa
2012-01-02,19,N1 - Boa
2012-01-03,24,N1 - Boa
2012-01-04,48,N2 - Moderada
2012-01-05,58,N2 - Moderada
2012-01-06,28,N1 - Boa
2012-01-07,40,N1 - Boa
2012-01-08,39,N1 - Boa
2012-01-09,27,N1 - Boa
2012-01-10,19,N1 - Boa
2012-01-11,28,N1 - Boa
2012-01-12,32,N1 - Boa
2012-01-13,27,N1 - Boa
2012-01-14,30,N1 - Boa
2012-01-15,21,N1 - Boa
2012-01-16,29,N1 - Boa
2012-01-17,192,N4 - Muito Ruim
2012-01-18,100,N3 - Ruim
2012-01-19,62,N2 - Moderada
2012-01-20,36,N1 - Boa
2012-01-21,85,N3 - Ruim
2012-01-22,77,N2 - Moderada
2012-01-23,35,N1 - Boa
2012-01-24,28,N1 - Boa
2012-01-25,26,N1 - Boa
2012-01-26,39,N1 - Boa
2012-01-27,23,N1 - Boa
2012-01-28,19,N1 - Boa
2012-01-29,15,N1 - Boa
2012-01-30,23,N1 - Boa
2012-01-31,27,N1 - Boa
2012-02-01,32,N1 - Boa
2012-02-02,31,N1 - Boa
2012-02-03,31,N1 - Boa
2012-02-04,25,N1 - Boa
2012-02-05,33,N1 - Boa
2012-02-06,36,N1 - Boa
2012-02-07,141,N4 - Muito Ruim
2012-02-08,133,N4 - Muito Ruim
2012-02-09,190,N4 - Muito Ruim
2012-02-10,89,N3 - Ruim
2012-02-11,32,N1 - Boa
2012-02-12,35,N1 - Boa
2012-02-13,35,N1 - Boa
2012-02-14,56,N2 - Moderada
2012-02-15,39,N1 - Boa
2012-02-16,30,N1 - Boa
2012-02-17,49,N2 - Moderada
2012-02-18,66,N2 - Moderada
2012-02-19,32,N1 - Boa
2012-02-20,37,N1 - Boa
2012-02-21,32,N1 - Boa
2012-02-22,21,N1 - Boa
2012-02-23,51,N2 - Moderada
2012-02-24,79,N2 - Moderada
2012-02-25,103,N3 - Ruim
2012-02-26,39,N1 - Boa
2012-02-27,68,N2 - Moderada
2012-02-28,189,N4 - Muito Ruim
2012-02-29,53,N2 - Moderada
2012-03-01,105,N3 - Ruim
2012-03-02,112,N3 - Ruim
2012-03-03,83,N3 - Ruim
2012-03-04,19,N1 - Boa
2012-03-05,65,N2 - Moderada
2012-03-06,44,N2 - Moderada
2012-03-07,29,N1 - Boa
2012-03-08,50,N2 - Moderada
2012-03-09,103,N3 - Ruim
2012-03-10,114,N3 - Ruim
2012-03-11,40,N1 - Boa
2012-03-12,123,N4 - Muito Ruim
2012-03-13,34,N1 - Boa
2012-03-14,29,N1 - Boa
2012-03-15,65,N2 - Moderada
2012-03-16,37,N1 - Boa
2012-03-17,21,N1 - Boa
2012-03-18,18,N1 - Boa
2012-03-19,24,N1 - Boa
2012-03-20,33,N1 - Boa
2012-03-21,33,N1 - Boa
2012-03-22,36,N1 - Boa
2012-03-23,33,N1 - Boa
2012-03-24,45,N2 - Moderada
2012-03-25,135,N4 - Muito Ruim
2012-03-26,97,N3 - Ruim
2012-03-27,45,N2 - Moderada
2012-03-28,28,N1 - Boa
2012-03-29,16,N1 - Boa
2012-03-30,28,N1 - Boa
2012-03-31,22,N1 - Boa
2012-04-01,28,N1 - Boa
2012-04-02,81,N3 - Ruim
2012-04-03,40,N1 - Boa
2012-04-04,44,N2 - Moderada
2012-04-05,35,N1 - Boa
2012-04-06,34,N1 - Boa
2012-04-07,31,N1 - Boa
2012-04-08,76,N2 - Moderada
2012-04-09,37,N1 - Boa
2012-04-10,34,N1 - Boa
2012-04-11,32,N1 - Boa
2012-04-12,27,N1 - Boa
2012-04-13,25,N1 - Boa
2012-04-14,94,N3 - Ruim
2012-04-15,71,N2 - Moderada
2012-04-16,35,N1 - Boa
2012-04-17,18,N1 - Boa
2012-04-18,27,N1 - Boa
2012-04-19,32,N1 - Boa
2012-04-20,32,N1 - Boa
2012-04-21,40,N1 - Boa
2012-04-22,18,N1 - Boa
2012-04-23,20,N1 - Boa
2012-04-24,33,N1 - Boa
2012-04-25,36,N1 - Boa
2012-04-26,46,N2 - Moderada
2012-04-27,16,N1 - Boa
2012-04-28,15,N1 - Boa
2012-04-29,18,N1 - Boa
2012-04-30,11,N1 - Boa
2012-05-01,18,N1 - Boa
2012-05-02,12,N1 - Boa
2012-05-03,17,N1 - Boa
2012-05-04,25,N1 - Boa
2012-05-05,24,N1 - Boa
2012-05-06,26,N1 - Boa
2012-05-07,21,N1 - Boa
2012-05-08,31,N1 - Boa
2012-05-09,27,N1 - Boa
2012-05-10,35,N1 - Boa
2012-05-11,43,N2 - Moderada
2012-05-12,51,N2 - Moderada
2012-05-13,21,N1 - Boa
2012-05-14,15,N1 - Boa
2012-05-15,15,N1 - Boa
2012-05-16,15,N1 - Boa
2012-05-17,18,N1 - Boa
2012-05-18,23,N1 - Boa
2012-05-19,30,N1 - Boa
2012-05-20,29,N1 - Boa
2012-05-21,25,N1 - Boa
2012-05-22,35,N1 - Boa
2012-05-23,39,N1 - Boa
2012-05-24,49,N2 - Moderada
2012-05-25,58,N2 - Moderada
2012-05-26,43,N2 - Moderada
2012-05-27,28,N1 - Boa
2012-05-28,44,N2 - Moderada
2012-05-29,66,N2 - Moderada
2012-05-30,44,N2 - Moderada
2012-05-31,38,N1 - Boa
2012-06-01,30,N1 - Boa
2012-06-02,26,N1 - Boa
2012-06-03,24,N1 - Boa
2012-06-04,31,N1 - Boa
2012-06-05,34,N1 - Boa
2012-06-06,21,N1 - Boa
2012-06-07,11,N1 - Boa
2012-06-08,13,N1 - Boa
2012-06-09,13,N1 - Boa
2012-06-10,12,N1 - Boa
2012-06-11,20,N1 - Boa
2012-06-12,20,N1 - Boa
2012-06-13,41,N2 - Moderada
2012-06-14,42,N2 - Moderada
2012-06-15,46,N2 - Moderada
2012-06-16,44,N2 - Moderada
2012-06-17,34,N1 - Boa
2012-06-18,59,N2 - Moderada
2012-06-19,54,N2 - Moderada
2012-06-20,53,N2 - Moderada
2012-06-21,19,N1 - Boa
2012-06-22,14,N1 - Boa
2012-06-23,16,N1 - Boa
2012-06-24,39,N1 - Boa
2012-06-25,27,N1 - Boa
2012-06-26,23,N1 - Boa
2012-06-27,52,N2 - Moderada
2012-06-28,44,N2 - Moderada
2012-06-29,48,N2 - Moderada
2012-06-30,58,N2 - Moderada
2012-07-01,63,N2 - Moderada
2012-07-02,52,N2 - Moderada
2012-07-03,54,N2 - Moderada
2012-07-04,50,N2 - Moderada
2012-07-05,39,N1 - Boa
2012-07-06,57,N2 - Moderada
2012-07-07,44,N2 - Moderada
2012-07-08,26,N1 - Boa
2012-07-09,15,N1 - Boa
2012-07-10,33,N1 - Boa
2012-07-11,35,N1 - Boa
2012-07-12,43,N2 - Moderada
2012-07-13,22,N1 - Boa
2012-07-14,33,N1 - Boa
2012-07-15,28,N1 - Boa
2012-07-16,30,N1 - Boa
2012-07-17,24,N1 - Boa
2012-07-18,21,N1 - Boa
2012-07-19,22,N1 - Boa
2012-07-20,35,N1 - Boa
2012-07-21,67,N2 - Moderada
2012-07-22,71,N2 - Moderada
2012-07-23,60,N2 - Moderada
2012-07-24,73,N2 - Moderada
2012-07-25,48,N2 - Moderada
2012-07-26,52,N2 - Moderada
2012-07-27,61,N2 - Moderada
2012-07-28,47,N2 - Moderada
2012-07-29,55,N2 - Moderada
2012-07-30,39,N1 - Boa
2012-07-31,37,N1 - Boa
2012-08-01,32,N1 - Boa
2012-08-02,34,N1 - Boa
2012-08-03,35,N1 - Boa
2012-08-04,37,N1 - Boa
2012-08-05,44,N2 - Moderada
2012-08-06,20,N1 - Boa
2012-08-07,37,N1 - Boa
2012-08-08,31,N1 - Boa
2012-08-09,26,N1 - Boa
2012-08-10,29,N1 - Boa
2012-08-11,31,N1 - Boa
2012-08-12,27,N1 - Boa
2012-08-13,31,N1 - Boa
2012-08-14,32,N1 - Boa
2012-08-15,28,N1 - Boa
2012-08-16,27,N1 - Boa
2012-08-17,30,N1 - Boa
2012-08-18,29,N1 - Boa
2012-08-19,22,N1 - Boa
2012-08-20,34,N1 - Boa
2012-08-21,35,N1 - Boa
2012-08-22,35,N1 - Boa
2012-08-23,36,N1 - Boa
2012-08-24,33,N1 - Boa
2012-08-25,35,N1 - Boa
2012-08-26,33,N1 - Boa
2012-08-27,32,N1 - Boa
2012-08-28,17,N1 - Boa
2012-08-29,22,N1 - Boa
2012-08-30,20,N1 - Boa
2012-08-31,32,N1 - Boa
2012-09-01,50,N2 - Moderada
2012-09-02,53,N2 - Moderada
2012-09-03,36,N1 - Boa
2012-09-04,26,N1 - Boa
2012-09-05,24,N1 - Boa
2012-09-06,50,N2 - Moderada
2012-09-07,45,N2 - Moderada
2012-09-08,49,N2 - Moderada
2012-09-09,55,N2 - Moderada
2012-09-10,49,N2 - Moderada
2012-09-11,62,N2 - Moderada
2012-09-12,34,N1 - Boa
2012-09-13,32,N1 - Boa
2012-09-14,22,N1 - Boa
2012-09-15,46,N2 - Moderada
2012-09-16,34,N1 - Boa
2012-09-17,56,N2 - Moderada
2012-09-18,63,N2 - Moderada
2012-09-19,82,N3 - Ruim
2012-09-20,61,N2 - Moderada
2012-09-21,41,N2 - Moderada
2012-09-22,24,N1 - Boa
2012-09-23,30,N1 - Boa
2012-09-24,25,N1 - Boa
2012-09-25,37,N1 - Boa
2012-09-26,26,N1 - Boa
2012-09-27,18,N1 - Boa
2012-09-28,26,N1 - Boa
2012-09-29,33,N1 - Boa
2012-09-30,35,N1 - Boa
2012-10-01,39,N1 - Boa
2012-10-02,45,N2 - Moderada
2012-10-03,43,N2 - Moderada
2012-10-04,41,N2 - Moderada
2012-10-05,68,N2 - Moderada
2012-10-06,39,N1 - Boa
2012-10-07,36,N1 - Boa
2012-10-08,32,N1 - Boa
2012-10-09,28,N1 - Boa
2012-10-10,38,N1 - Boa
2012-10-11,43,N2 - Moderada
2012-10-12,27,N1 - Boa
2012-10-13,19,N1 - Boa
2012-10-14,24,N1 - Boa
2012-10-15,30,N1 - Boa
2012-10-16,36,N1 - Boa
2012-10-17,33,N1 - Boa
2012-10-18,37,N1 - Boa
2012-10-19,32,N1 - Boa
2012-10-20,36,N1 - Boa
2012-10-21,33,N1 - Boa
2012-10-22,33,N1 - Boa
2012-10-23,37,N1 - Boa
2012-10-24,31,N1 - Boa
2012-10-25,31,N1 - Boa
2012-10-26,39,N1 - Boa
2012-10-27,91,N3 - Ruim
2012-10-28,39,N1 - Boa
2012-10-29,39,N1 - Boa
2012-10-30,37,N1 - Boa
2012-10-31,36,N1 - Boa
2012-11-01,31,N1 - Boa
2012-11-02,14,N1 - Boa
2012-11-03,19,N1 - Boa
2012-11-04,25,N1 - Boa
2012-11-05,30,N1 - Boa
2012-11-06,27,N1 - Boa
2012-11-07,31,N1 - Boa
2012-11-08,28,N1 - Boa
2012-11-09,23,N1 - Boa
2012-11-10,15,N1 - Boa
2012-11-11,14,N1 - Boa
2012-11-12,25,N1 - Boa
2012-11-13,14,N1 - Boa
2012-11-14,19,N1 - Boa
2012-11-15,23,N1 - Boa
2012-11-16,17,N1 - Boa
2012-11-17,22,N1 - Boa
2012-11-18,25,N1 - Boa
2012-11-19,39,N1 - Boa
2012-11-20,25,N1 - Boa
2012-11-21,31,N1 - Boa
2012-11-22,24,N1 - Boa
2012-11-23,58,N2 - Moderada
2012-11-24,43,N2 - Moderada
2012-11-25,32,N1 - Boa
2012-11-26,17,N1 - Boa
2012-11-27,19,N1 - Boa
2012-11-28,36,N1 - Boa
2012-11-29,31,N1 - Boa
2012-11-30,22,N1 - Boa
2012-12-01,28,N1 - Boa
2012-12-02,30,N1 - Boa
2012-12-03,22,N1 - Boa
2012-12-04,32,N1 - Boa
2012-12-05,34,N1 - Boa
2012-12-06,32,N1 - Boa
2012-12-07,31,N1 - Boa
2012-12-08,29,N1 - Boa
2012-12-09,18,N1 - Boa
2012-12-10,24,N1 - Boa
2012-12-11,25,N1 - Boa
2012-12-12,17,N1 - Boa
2012-12-13,20,N1 - Boa
2012-12-14,16,N1 - Boa
2012-12-15,22,N1 - Boa
2012-12-16,23,N1 - Boa
2012-12-17,19,N1 - Boa
2012-12-18,15,N1 - Boa
2012-12-19,24,N1 - Boa
2012-12-20,27,N1 - Boa
2012-12-21,22,N1 - Boa
2012-12-22,24,N1 - Boa
2012-12-23,18,N1 - Boa
2012-12-24,22,N1 - Boa
2012-12-25,24,N1 - Boa
2012-12-26,28,N1 - Boa
2012-12-27,34,N1 - Boa
2012-12-28,30,N1 - Boa
2012-12-29,30,N1 - Boa
2012-12-30,25,N1 - Boa
2012-12-31,23,N1 - Boa
2013-01-01,39,N1 - Boa
2013-01-02,18,N1 - Boa
2013-01-03,9,N1 - Boa
2013-01-04,11,N1 - Boa
2013-01-05,25,N1 - Boa
2013-01-06,32,N1 - Boa
2013-01-07,25,N1 - Boa
2013-01-08,25,N1 - Boa
2013-01-09,23,N1 - Boa
2013-01-10,18,N1 - Boa
2013-01-11,14,N1 - Boa
2013-01-12,29,N1 - Boa
2013-01-13,23,N1 - Boa
2013-01-14,33,N1 - Boa
2013-01-15,24,N1 - Boa
2013-01-16,21,N1 - Boa
2013-01-17,21,N1 - Boa
2013-01-18,37,N1 - Boa
2013-01-19,29,N1 - Boa
2013-01-20,19,N1 - Boa
2013-01-21,9,N1 - Boa
2013-01-22,13,N1 - Boa
2013-01-23,24,N1 - Boa
2013-01-24,30,N1 - Boa
2013-01-25,31,N1 - Boa
2013-01-26,21,N1 - Boa
2013-01-27,17,N1 - Boa
2013-01-28,21,N1 - Boa
2013-01-29,10,N1 - Boa
2013-01-30,18,N1 - Boa
2013-01-31,19,N1 - Boa
2013-02-01,30,N1 - Boa
2013-02-02,24,N1 - Boa
2013-02-03,31,N1 - Boa
2013-02-04,27,N1 - Boa
2013-02-05,11,N1 - Boa
2013-02-06,18,N1 - Boa
2013-02-07,16,N1 - Boa
2013-02-08,35,N1 - Boa
2013-02-09,38,N1 - Boa
2013-02-10,60,N2 - Moderada
2013-02-11,61,N2 - Moderada
2013-02-12,35,N1 - Boa
2013-02-13,31,N1 - Boa
2013-02-14,50,N2 - Moderada
2013-02-15,58,N2 - Moderada
2013-02-16,40,N1 - Boa
2013-02-17,38,N1 - Boa
2013-02-18,43,N2 - Moderada
2013-02-19,38,N1 - Boa
2013-02-20,33,N1 - Boa
2013-02-21,31,N1 - Boa
2013-02-22,35,N1 - Boa
2013-02-23,28,N1 - Boa
2013-02-24,35,N1 - Boa
2013-02-25,31,N1 - Boa
2013-02-26,39,N1 - Boa
2013-02-27,24,N1 - Boa
2013-02-28,16,N1 - Boa
2013-03-01,20,N1 - Boa
2013-03-02,15,N1 - Boa
2013-03-03,30,N1 - Boa
2013-03-04,25,N1 - Boa
2013-03-05,25,N1 - Boa
2013-03-06,30,N1 - Boa
2013-03-07,49,N2 - Moderada
2013-03-08,39,N1 - Boa
2013-03-09,79,N2 - Moderada
2013-03-10,35,N1 - Boa
2013-03-11,25,N1 - Boa
2013-03-12,54,N2 - Moderada
2013-03-13,28,N1 - Boa
2013-03-14,16,N1 - Boa
2013-03-15,26,N1 - Boa
2013-03-16,20,N1 - Boa
2013-03-17,18,N1 - Boa
2013-03-18,13,N1 - Boa
2013-03-19,21,N1 - Boa
2013-03-20,37,N1 - Boa
2013-03-21,37,N1 - Boa
2013-03-22,25,N1 - Boa
2013-03-23,24,N1 - Boa
2013-03-24,15,N1 - Boa
2013-03-25,18,N1 - Boa
2013-03-26,21,N1 - Boa
2013-03-27,14,N1 - Boa
2013-03-28,21,N1 - Boa
2013-03-29,17,N1 - Boa
2013-03-30,21,N1 - Boa
2013-03-31,22,N1 - Boa
2013-04-01,21,N1 - Boa
2013-04-02,34,N1 - Boa
2013-04-03,20,N1 - Boa
2013-04-04,15,N1 - Boa
2013-04-05,9,N1 - Boa
2013-04-06,15,N1 - Boa
2013-04-07,19,N1 - Boa
2013-04-08,21,N1 - Boa
2013-04-09,12,N1 - Boa
2013-04-10,13,N1 - Boa
2013-04-11,19,N1 - Boa
2013-04-12,14,N1 - Boa
2013-04-13,42,N2 - Moderada
2013-04-14,15,N1 - Boa
2013-04-15,20,N1 - Boa
2013-04-16,26,N1 - Boa
2013-04-17,26,N1 - Boa
2013-04-18,26,N1 - Boa
2013-04-19,22,N1 - Boa
2013-04-20,24,N1 - Boa
2013-04-21,23,N1 - Boa
2013-04-22,23,N1 - Boa
2013-04-23,23,N1 - Boa
2013-04-24,28,N1 - Boa
2013-04-25,33,N1 - Boa
2013-04-26,35,N1 - Boa
2013-04-27,43,N2 - Moderada
2013-04-28,35,N1 - Boa
2013-04-29,37,N1 - Boa
2013-04-30,45,N2 - Moderada
2013-05-01,48,N2 - Moderada
2013-05-02,46,N2 - Moderada
2013-05-03,59,N2 - Moderada
2013-05-04,54,N2 - Moderada
2013-05-05,65,N2 - Moderada
2013-05-06,39,N1 - Boa
2013-05-07,30,N1 - Boa
2013-05-08,29,N1 - Boa
2013-05-09,39,N1 - Boa
2013-05-10,51,N2 - Moderada
2013-05-11,33,N1 - Boa
2013-05-12,32,N1 - Boa
2013-05-13,44,N2 - Moderada
2013-05-14,56,N2 - Moderada
2013-05-15,60,N2 - Moderada
2013-05-16,43,N2 - Moderada
2013-05-17,19,N1 - Boa
2013-05-18,17,N1 - Boa
2013-05-19,18,N1 - Boa
2013-05-20,26,N1 - Boa
2013-05-21,34,N1 - Boa
2013-05-22,29,N1 - Boa
2013-05-23,17,N1 - Boa
2013-05-24,18,N1 - Boa
2013-05-25,22,N1 - Boa
2013-05-26,34,N1 - Boa
2013-05-27,25,N1 - Boa
2013-05-28,18,N1 - Boa
2013-05-29,16,N1 - Boa
2013-05-30,18,N1 - Boa
2013-05-31,21,N1 - Boa
2013-06-01,31,N1 - Boa
2013-06-02,40,N1 - Boa
2013-06-03,20,N1 - Boa
2013-06-04,20,N1 - Boa
2013-06-05,38,N1 - Boa
2013-06-06,40,N1 - Boa
2013-06-07,42,N2 - Moderada
2013-06-08,38,N1 - Boa
2013-06-09,33,N1 - Boa
2013-06-10,35,N1 - Boa
2013-06-11,47,N2 - Moderada
2013-06-12,49,N2 - Moderada
2013-06-13,34,N1 - Boa
2013-06-14,39,N1 - Boa
2013-06-15,28,N1 - Boa
2013-06-16,39,N1 - Boa
2013-06-17,30,N1 - Boa
2013-06-18,22,N1 - Boa
2013-06-19,39,N1 - Boa
2013-06-20,48,N2 - Moderada
2013-06-21,59,N2 - Moderada
2013-06-22,35,N1 - Boa
2013-06-23,22,N1 - Boa
2013-06-24,32,N1 - Boa
2013-06-25,44,N2 - Moderada
2013-06-26,39,N1 - Boa
2013-06-27,43,N2 - Moderada
2013-06-28,29,N1 - Boa
2013-06-29,48,N2 - Moderada
2013-06-30,30,N1 - Boa
2013-07-01,25,N1 - Boa
2013-07-02,15,N1 - Boa
2013-07-03,32,N1 - Boa
2013-07-04,34,N1 - Boa
2013-07-05,39,N1 - Boa
2013-07-06,48,N2 - Moderada
2013-07-07,41,N2 - Moderada
2013-07-08,45,N2 - Moderada
2013-07-09,20,N1 - Boa
2013-07-10,32,N1 - Boa
2013-07-11,32,N1 - Boa
2013-07-12,33,N1 - Boa
2013-07-13,45,N2 - Moderada
2013-07-14,39,N1 - Boa
2013-07-15,25,N1 - Boa
2013-07-16,23,N1 - Boa
2013-07-17,36,N1 - Boa
2013-07-18,48,N2 - Moderada
2013-07-19,42,N2 - Moderada
2013-07-20,38,N1 - Boa
2013-07-21,41,N2 - Moderada
2013-07-22,36,N1 - Boa
