data_dia,AQI,Qualidade_do_Ar
2012-01-01,,
2012-01-02,,
2012-01-03,22,N1 - Boa
2012-01-04,29,N1 - Boa
2012-01-05,28,N1 - Boa
2012-01-06,23,N1 - Boa
2012-01-07,28,N1 - Boa
2012-01-08,23,N1 - Boa
2012-01-09,15,N1 - Boa
2012-01-10,29,N1 - Boa
2012-01-11,29,N1 - Boa
2012-01-12,29,N1 - Boa
2012-01-13,31,N1 - Boa
2012-01-14,33,N1 - Boa
2012-01-15,24,N1 - Boa
2012-01-16,29,N1 - Boa
2012-01-17,30,N1 - Boa
2012-01-18,39,N1 - Boa
2012-01-19,44,N2 - Moderada
2012-01-20,36,N1 - Boa
2012-01-21,33,N1 - Boa
2012-01-22,26,N1 - Boa
2012-01-23,32,N1 - Boa
2012-01-24,33,N1 - Boa
2012-01-25,31,N1 - Boa
2012-01-26,397,N5 - Péssima
2012-01-27,130,N4 - Muito Ruim
2012-01-28,31,N1 - Boa
2012-01-29,21,N1 - Boa
2012-01-30,30,N1 - Boa
2012-01-31,32,N1 - Boa
2012-02-01,37,N1 - Boa
2012-02-02,39,N1 - Boa
2012-02-03,29,N1 - Boa
2012-02-04,24,N1 - Boa
2012-02-05,29,N1 - Boa
2012-02-06,42,N2 - Moderada
2012-02-07,61,N2 - Moderada
2012-02-08,71,N2 - Moderada
2012-02-09,73,N2 - Moderada
2012-02-10,49,N2 - Moderada
2012-02-11,42,N2 - Moderada
2012-02-12,28,N1 - Boa
2012-02-13,30,N1 - Boa
2012-02-14,27,N1 - Boa
2012-02-15,26,N1 - Boa
2012-02-16,25,N1 - Boa
2012-02-17,30,N1 - Boa
2012-02-18,32,N1 - Boa
2012-02-19,21,N1 - Boa
2012-02-20,26,N1 - Boa
2012-02-21,22,N1 - Boa
2012-02-22,28,N1 - Boa
2012-02-23,40,N1 - Boa
2012-02-24,38,N1 - Boa
2012-02-25,39,N1 - Boa
2012-02-26,39,N1 - Boa
2012-02-27,39,N1 - Boa
2012-02-28,46,N2 - Moderada
2012-02-29,43,N2 - Moderada
2012-03-01,48,N2 - Moderada
2012-03-02,66,N2 - Moderada
2012-03-03,36,N1 - Boa
2012-03-04,24,N1 - Boa
2012-03-05,32,N1 - Boa
2012-03-06,25,N1 - Boa
2012-03-07,26,N1 - Boa
2012-03-08,27,N1 - Boa
2012-03-09,29,N1 - Boa
2012-03-10,24,N1 - Boa
2012-03-11,21,N1 - Boa
2012-03-12,39,N1 - Boa
2012-03-13,33,N1 - Boa
2012-03-14,31,N1 - Boa
2012-03-15,38,N1 - Boa
2012-03-16,32,N1 - Boa
2012-03-17,25,N1 - Boa
2012-03-18,18,N1 - Boa
2012-03-19,23,N1 - Boa
2012-03-20,30,N1 - Boa
2012-03-21,32,N1 - Boa
2012-03-22,45,N2 - Moderada
2012-03-23,33,N1 - Boa
2012-03-24,30,N1 - Boa
2012-03-25,33,N1 - Boa
2012-03-26,28,N1 - Boa
2012-03-27,48,N2 - Moderada
2012-03-28,32,N1 - Boa
2012-03-29,19,N1 - Boa
2012-03-30,33,N1 - Boa
2012-03-31,26,N1 - Boa
2012-04-01,25,N1 - Boa
2012-04-02,22,N1 - Boa
2012-04-03,36,N1 - Boa
2012-04-04,32,N1 - Boa
2012-04-05,30,N1 - Boa
2012-04-06,32,N1 - Boa
2012-04-07,25,N1 - Boa
2012-04-08,24,N1 - Boa
2012-04-09,36,N1 - Boa
2012-04-10,25,N1 - Boa
2012-04-11,22,N1 - Boa
2012-04-12,23,N1 - Boa
2012-04-13,29,N1 - Boa
2012-04-14,44,N2 - Moderada
2012-04-15,40,N1 - Boa
2012-04-16,24,N1 - Boa
2012-04-17,31,N1 - Boa
2012-04-18,26,N1 - Boa
2012-04-19,27,N1 - Boa
2012-04-20,28,N1 - Boa
2012-04-21,54,N2 - Moderada
2012-04-22,26,N1 - Boa
2012-04-23,20,N1 - Boa
2012-04-24,31,N1 - Boa
2012-04-25,26,N1 - Boa
2012-04-26,37,N1 - Boa
2012-04-27,25,N1 - Boa
2012-04-28,24,N1 - Boa
2012-04-29,18,N1 - Boa
2012-04-30,18,N1 - Boa
2012-05-01,12,N1 - Boa
2012-05-02,26,N1 - Boa
2012-05-03,22,N1 - Boa
2012-05-04,20,N1 - Boa
2012-05-05,21,N1 - Boa
2012-05-06,17,N1 - Boa
2012-05-07,23,N1 - Boa
2012-05-08,22,N1 - Boa
2012-05-09,28,N1 - Boa
2012-05-10,31,N1 - Boa
2012-05-11,48,N2 - Moderada
2012-05-12,39,N1 - Boa
2012-05-13,21,N1 - Boa
2012-05-14,18,N1 - Boa
2012-05-15,18,N1 - Boa
2012-05-16,26,N1 - Boa
2012-05-17,20,N1 - Boa
2012-05-18,29,N1 - Boa
2012-05-19,24,N1 - Boa
2012-05-20,17,N1 - Boa
2012-05-21,25,N1 - Boa
2012-05-22,25,N1 - Boa
2012-05-23,22,N1 - Boa
2012-05-24,30,N1 - Boa
2012-05-25,48,N2 - Moderada
2012-05-26,38,N1 - Boa
2012-05-27,34,N1 - Boa
2012-05-28,54,N2 - Moderada
2012-05-29,51,N2 - Moderada
2012-05-30,65,N2 - Moderada
2012-05-31,55,N2 - Moderada
2012-06-01,36,N1 - Boa
2012-06-02,22,N1 - Boa
2012-06-03,51,N2 - Moderada
2012-06-04,49,N2 - Moderada
2012-06-05,35,N1 - Boa
2012-06-06,36,N1 - Boa
2012-06-07,18,N1 - Boa
2012-06-08,20,N1 - Boa
2012-06-09,15,N1 - Boa
2012-06-10,13,N1 - Boa
2012-06-11,26,N1 - Boa
2012-06-12,32,N1 - Boa
2012-06-13,33,N1 - Boa
2012-06-14,26,N1 - Boa
2012-06-15,39,N1 - Boa
2012-06-16,45,N2 - Moderada
2012-06-17,37,N1 - Boa
2012-06-18,44,N2 - Moderada
2012-06-19,62,N2 - Moderada
2012-06-20,44,N2 - Moderada
2012-06-21,43,N2 - Moderada
2012-06-22,24,N1 - Boa
2012-06-23,18,N1 - Boa
2012-06-24,28,N1 - Boa
2012-06-25,27,N1 - Boa
2012-06-26,34,N1 - Boa
2012-06-27,27,N1 - Boa
2012-06-28,27,N1 - Boa
2012-06-29,52,N2 - Moderada
2012-06-30,44,N2 - Moderada
2012-07-01,51,N2 - Moderada
2012-07-02,39,N1 - Boa
2012-07-03,50,N2 - Moderada
2012-07-04,34,N1 - Boa
2012-07-05,30,N1 - Boa
2012-07-06,37,N1 - Boa
2012-07-07,40,N1 - Boa
2012-07-08,19,N1 - Boa
2012-07-09,24,N1 - Boa
2012-07-10,28,N1 - Boa
2012-07-11,55,N2 - Moderada
2012-07-12,53,N2 - Moderada
2012-07-13,27,N1 - Boa
2012-07-14,36,N1 - Boa
2012-07-15,24,N1 - Boa
2012-07-16,30,N1 - Boa
2012-07-17,22,N1 - Boa
2012-07-18,29,N1 - Boa
2012-07-19,25,N1 - Boa
2012-07-20,35,N1 - Boa
2012-07-21,44,N2 - Moderada
2012-07-22,75,N2 - Moderada
2012-07-23,51,N2 - Moderada
2012-07-24,69,N2 - Moderada
2012-07-25,61,N2 - Moderada
2012-07-26,9,N1 - Boa
2012-07-27,,
2012-07-28,44,N2 - Moderada
2012-07-29,33,N1 - Boa
2012-07-30,50,N2 - Moderada
2012-07-31,33,N1 - Boa
2012-08-01,24,N1 - Boa
2012-08-02,23,N1 - Boa
2012-08-03,28,N1 - Boa
2012-08-04,44,N2 - Moderada
2012-08-05,46,N2 - Moderada
2012-08-06,24,N1 - Boa
2012-08-07,30,N1 - Boa
2012-08-08,24,N1 - Boa
2012-08-09,22,N1 - Boa
2012-08-10,24,N1 - Boa
2012-08-11,23,N1 - Boa
2012-08-12,18,N1 - Boa
2012-08-13,25,N1 - Boa
2012-08-14,19,N1 - Boa
2012-08-15,24,N1 - Boa
2012-08-16,26,N1 - Boa
2012-08-17,26,N1 - Boa
2012-08-18,22,N1 - Boa
2012-08-19,20,N1 - Boa
2012-08-20,26,N1 - Boa
2012-08-21,24,N1 - Boa
2012-08-22,28,N1 - Boa
2012-08-23,27,N1 - Boa
2012-08-24,28,N1 - Boa
2012-08-25,23,N1 - Boa
2012-08-26,27,N1 - Boa
2012-08-27,41,N2 - Moderada
2012-08-28,36,N1 - Boa
2012-08-29,30,N1 - Boa
2012-08-30,25,N1 - Boa
2012-08-31,20,N1 - Boa
2012-09-01,23,N1 - Boa
2012-09-02,36,N1 - Boa
2012-09-03,45,N2 - Moderada
2012-09-04,31,N1 - Boa
2012-09-05,33,N1 - Boa
2012-09-06,48,N2 - Moderada
2012-09-07,55,N2 - Moderada
2012-09-08,44,N2 - Moderada
2012-09-09,47,N2 - Moderada
2012-09-10,44,N2 - Moderada
2012-09-11,47,N2 - Moderada
2012-09-12,40,N1 - Boa
2012-09-13,35,N1 - Boa
2012-09-14,22,N1 - Boa
2012-09-15,21,N1 - Boa
2012-09-16,24,N1 - Boa
2012-09-17,46,N2 - Moderada
2012-09-18,54,N2 - Moderada
2012-09-19,70,N2 - Moderada
2012-09-20,71,N2 - Moderada
2012-09-21,46,N2 - Moderada
2012-09-22,23,N1 - Boa
2012-09-23,25,N1 - Boa
2012-09-24,28,N1 - Boa
2012-09-25,39,N1 - Boa
2012-09-26,15,N1 - Boa
2012-09-27,23,N1 - Boa
2012-09-28,27,N1 - Boa
2012-09-29,23,N1 - Boa
2012-09-30,20,N1 - Boa
2012-10-01,26,N1 - Boa
2012-10-02,32,N1 - Boa
2012-10-03,34,N1 - Boa
2012-10-04,38,N1 - Boa
2012-10-05,44,N2 - Moderada
2012-10-06,31,N1 - Boa
2012-10-07,27,N1 - Boa
2012-10-08,28,N1 - Boa
2012-10-09,31,N1 - Boa
2012-10-10,40,N1 - Boa
2012-10-11,51,N2 - Moderada
2012-10-12,21,N1 - Boa
2012-10-13,18,N1 - Boa
2012-10-14,19,N1 - Boa
2012-10-15,19,N1 - Boa
2012-10-16,25,N1 - Boa
2012-10-17,34,N1 - Boa
2012-10-18,51,N2 - Moderada
2012-10-19,36,N1 - Boa
2012-10-20,39,N1 - Boa
2012-10-21,39,N1 - Boa
2012-10-22,37,N1 - Boa
2012-10-23,49,N2 - Moderada
2012-10-24,30,N1 - Boa
2012-10-25,35,N1 - Boa
