data_dia,AQI,Qualidade_do_Ar
2012-01-01,37,N1 - Boa
2012-01-02,28,N1 - Boa
2012-01-03,37,N1 - Boa
2012-01-04,9,N1 - Boa
2012-01-05,38,N1 - Boa
2012-01-06,37,N1 - Boa
2012-01-07,36,N1 - Boa
2012-01-08,36,N1 - Boa
2012-01-09,26,N1 - Boa
2012-01-10,37,N1 - Boa
2012-01-11,40,N1 - Boa
2012-01-12,48,N2 - Moderada
2012-01-13,48,N2 - Moderada
2012-01-14,47,N2 - Moderada
2012-01-15,38,N1 - Boa
2012-01-16,38,N1 - Boa
2012-01-17,42,N2 - Moderada
2012-01-18,49,N2 - Moderada
2012-01-19,52,N2 - Moderada
2012-01-20,54,N2 - Moderada
2012-01-21,51,N2 - Moderada
2012-01-22,47,N2 - Moderada
2012-01-23,50,N2 - Moderada
2012-01-24,52,N2 - Moderada
2012-01-25,51,N2 - Moderada
2012-01-26,66,N2 - Moderada
2012-01-27,29,N1 - Boa
2012-01-28,28,N1 - Boa
2012-01-29,36,N1 - Boa
2012-01-30,44,N2 - Moderada
2012-01-31,36,N1 - Boa
2012-02-01,41,N2 - Moderada
2012-02-02,42,N2 - Moderada
2012-02-03,43,N2 - Moderada
2012-02-04,38,N1 - Boa
2012-02-05,39,N1 - Boa
2012-02-06,51,N2 - Moderada
2012-02-07,63,N2 - Moderada
2012-02-08,73,N2 - Moderada
2012-02-09,62,N2 - Moderada
2012-02-10,56,N2 - Moderada
2012-02-11,52,N2 - Moderada
2012-02-12,45,N2 - Moderada
2012-02-13,42,N2 - Moderada
2012-02-14,35,N1 - Boa
2012-02-15,42,N2 - Moderada
2012-02-16,48,N2 - Moderada
2012-02-17,51,N2 - Moderada
2012-02-18,44,N2 - Moderada
2012-02-19,47,N2 - Moderada
2012-02-20,50,N2 - Moderada
2012-02-21,50,N2 - Moderada
2012-02-22,49,N2 - Moderada
2012-02-23,47,N2 - Moderada
2012-02-24,55,N2 - Moderada
2012-02-25,54,N2 - Moderada
2012-02-26,59,N2 - Moderada
2012-02-27,63,N2 - Moderada
2012-02-28,57,N2 - Moderada
2012-02-29,64,N2 - Moderada
2012-03-01,66,N2 - Moderada
2012-03-02,86,N3 - Ruim
2012-03-03,47,N2 - Moderada
2012-03-04,36,N1 - Boa
2012-03-05,52,N2 - Moderada
2012-03-06,36,N1 - Boa
2012-03-07,36,N1 - Boa
2012-03-08,45,N2 - Moderada
2012-03-09,47,N2 - Moderada
2012-03-10,39,N1 - Boa
2012-03-11,42,N2 - Moderada
2012-03-12,60,N2 - Moderada
2012-03-13,53,N2 - Moderada
2012-03-14,53,N2 - Moderada
2012-03-15,51,N2 - Moderada
2012-03-16,39,N1 - Boa
2012-03-17,34,N1 - Boa
2012-03-18,33,N1 - Boa
2012-03-19,47,N2 - Moderada
2012-03-20,55,N2 - Moderada
2012-03-21,48,N2 - Moderada
2012-03-22,59,N2 - Moderada
2012-03-23,42,N2 - Moderada
2012-03-24,40,N1 - Boa
2012-03-25,42,N2 - Moderada
2012-03-26,36,N1 - Boa
2012-03-27,58,N2 - Moderada
2012-03-28,42,N2 - Moderada
2012-03-29,29,N1 - Boa
2012-03-30,43,N2 - Moderada
2012-03-31,34,N1 - Boa
2012-04-01,33,N1 - Boa
2012-04-02,30,N1 - Boa
2012-04-03,46,N2 - Moderada
2012-04-04,44,N2 - Moderada
2012-04-05,38,N1 - Boa
2012-04-06,46,N2 - Moderada
2012-04-07,33,N1 - Boa
2012-04-08,33,N1 - Boa
2012-04-09,53,N2 - Moderada
2012-04-10,33,N1 - Boa
2012-04-11,30,N1 - Boa
2012-04-12,35,N1 - Boa
2012-04-13,47,N2 - Moderada
2012-04-14,57,N2 - Moderada
2012-04-15,58,N2 - Moderada
2012-04-16,38,N1 - Boa
2012-04-17,44,N2 - Moderada
2012-04-18,35,N1 - Boa
2012-04-19,34,N1 - Boa
2012-04-20,37,N1 - Boa
2012-04-21,60,N2 - Moderada
2012-04-22,33,N1 - Boa
2012-04-23,29,N1 - Boa
2012-04-24,43,N2 - Moderada
2012-04-25,36,N1 - Boa
2012-04-26,58,N2 - Moderada
2012-04-27,36,N1 - Boa
2012-04-28,39,N1 - Boa
2012-04-29,31,N1 - Boa
2012-04-30,27,N1 - Boa
2012-05-01,26,N1 - Boa
2012-05-02,33,N1 - Boa
2012-05-03,30,N1 - Boa
2012-05-04,34,N1 - Boa
2012-05-05,33,N1 - Boa
2012-05-06,32,N1 - Boa
2012-05-07,32,N1 - Boa
2012-05-08,31,N1 - Boa
2012-05-09,37,N1 - Boa
2012-05-10,43,N2 - Moderada
2012-05-11,57,N2 - Moderada
2012-05-12,47,N2 - Moderada
2012-05-13,28,N1 - Boa
2012-05-14,33,N1 - Boa
2012-05-15,29,N1 - Boa
2012-05-16,32,N1 - Boa
2012-05-17,33,N1 - Boa
2012-05-18,37,N1 - Boa
2012-05-19,36,N1 - Boa
2012-05-20,29,N1 - Boa
2012-05-21,38,N1 - Boa
2012-05-22,35,N1 - Boa
2012-05-23,38,N1 - Boa
2012-05-24,38,N1 - Boa
2012-05-25,53,N2 - Moderada
2012-05-26,48,N2 - Moderada
2012-05-27,52,N2 - Moderada
2012-05-28,62,N2 - Moderada
2012-05-29,64,N2 - Moderada
2012-05-30,79,N2 - Moderada
2012-05-31,57,N2 - Moderada
2012-06-01,43,N2 - Moderada
2012-06-02,34,N1 - Boa
2012-06-03,58,N2 - Moderada
2012-06-04,55,N2 - Moderada
2012-06-05,44,N2 - Moderada
2012-06-06,43,N2 - Moderada
2012-06-07,29,N1 - Boa
2012-06-08,27,N1 - Boa
2012-06-09,20,N1 - Boa
2012-06-10,25,N1 - Boa
2012-06-11,31,N1 - Boa
2012-06-12,38,N1 - Boa
2012-06-13,36,N1 - Boa
2012-06-14,34,N1 - Boa
2012-06-15,45,N2 - Moderada
2012-06-16,46,N2 - Moderada
2012-06-17,40,N1 - Boa
2012-06-18,43,N2 - Moderada
2012-06-19,59,N2 - Moderada
2012-06-20,45,N2 - Moderada
2012-06-21,38,N1 - Boa
2012-06-22,29,N1 - Boa
2012-06-23,27,N1 - Boa
2012-06-24,35,N1 - Boa
2012-06-25,34,N1 - Boa
2012-06-26,39,N1 - Boa
2012-06-27,32,N1 - Boa
2012-06-28,32,N1 - Boa
2012-06-29,53,N2 - Moderada
2012-06-30,50,N2 - Moderada
2012-07-01,57,N2 - Moderada
2012-07-02,48,N2 - Moderada
2012-07-03,54,N2 - Moderada
2012-07-04,47,N2 - Moderada
2012-07-05,44,N2 - Moderada
2012-07-06,46,N2 - Moderada
2012-07-07,41,N2 - Moderada
2012-07-08,26,N1 - Boa
2012-07-09,29,N1 - Boa
2012-07-10,31,N1 - Boa
2012-07-11,55,N2 - Moderada
2012-07-12,56,N2 - Moderada
2012-07-13,31,N1 - Boa
2012-07-14,41,N2 - Moderada
2012-07-15,31,N1 - Boa
2012-07-16,31,N1 - Boa
2012-07-17,29,N1 - Boa
2012-07-18,28,N1 - Boa
2012-07-19,30,N1 - Boa
2012-07-20,36,N1 - Boa
2012-07-21,48,N2 - Moderada
2012-07-22,72,N2 - Moderada
2012-07-23,43,N2 - Moderada
2012-07-24,78,N2 - Moderada
2012-07-25,52,N2 - Moderada
2012-07-26,46,N2 - Moderada
2012-07-27,56,N2 - Moderada
2012-07-28,57,N2 - Moderada
2012-07-29,47,N2 - Moderada
2012-07-30,58,N2 - Moderada
2012-07-31,48,N2 - Moderada
2012-08-01,44,N2 - Moderada
2012-08-02,43,N2 - Moderada
2012-08-03,48,N2 - Moderada
2012-08-04,53,N2 - Moderada
2012-08-05,52,N2 - Moderada
2012-08-06,31,N1 - Boa
2012-08-07,38,N1 - Boa
2012-08-08,28,N1 - Boa
2012-08-09,29,N1 - Boa
2012-08-10,32,N1 - Boa
2012-08-11,34,N1 - Boa
2012-08-12,30,N1 - Boa
2012-08-13,37,N1 - Boa
2012-08-14,8,N1 - Boa
2012-08-15,11,N1 - Boa
2012-08-16,12,N1 - Boa
2012-08-17,41,N2 - Moderada
2012-08-18,35,N1 - Boa
2012-08-19,33,N1 - Boa
2012-08-20,49,N2 - Moderada
2012-08-21,42,N2 - Moderada
2012-08-22,45,N2 - Moderada
2012-08-23,44,N2 - Moderada
2012-08-24,48,N2 - Moderada
2012-08-25,44,N2 - Moderada
2012-08-26,43,N2 - Moderada
2012-08-27,61,N2 - Moderada
2012-08-28,58,N2 - Moderada
2012-08-29,46,N2 - Moderada
2012-08-30,32,N1 - Boa
2012-08-31,36,N1 - Boa
2012-09-01,9,N1 - Boa
2012-09-02,53,N2 - Moderada
2012-09-03,56,N2 - Moderada
2012-09-04,41,N2 - Moderada
2012-09-05,39,N1 - Boa
2012-09-06,63,N2 - Moderada
2012-09-07,66,N2 - Moderada
2012-09-08,59,N2 - Moderada
2012-09-09,60,N2 - Moderada
2012-09-10,57,N2 - Moderada
2012-09-11,55,N2 - Moderada
2012-09-12,59,N2 - Moderada
2012-09-13,44,N2 - Moderada
2012-09-14,28,N1 - Boa
2012-09-15,32,N1 - Boa
2012-09-16,43,N2 - Moderada
2012-09-17,58,N2 - Moderada
2012-09-18,69,N2 - Moderada
2012-09-19,81,N3 - Ruim
2012-09-20,77,N2 - Moderada
2012-09-21,59,N2 - Moderada
2012-09-22,37,N1 - Boa
2012-09-23,36,N1 - Boa
2012-09-24,35,N1 - Boa
2012-09-25,48,N2 - Moderada
2012-09-26,28,N1 - Boa
2012-09-27,32,N1 - Boa
2012-09-28,37,N1 - Boa
2012-09-29,30,N1 - Boa
2012-09-30,27,N1 - Boa
2012-10-01,35,N1 - Boa
2012-10-02,41,N2 - Moderada
2012-10-03,53,N2 - Moderada
2012-10-04,53,N2 - Moderada
2012-10-05,72,N2 - Moderada
2012-10-06,57,N2 - Moderada
2012-10-07,51,N2 - Moderada
2012-10-08,52,N2 - Moderada
2012-10-09,48,N2 - Moderada
2012-10-10,55,N2 - Moderada
2012-10-11,12,N1 - Boa
2012-10-12,32,N1 - Boa
2012-10-13,30,N1 - Boa
2012-10-14,26,N1 - Boa
2012-10-15,29,N1 - Boa
2012-10-16,30,N1 - Boa
2012-10-17,45,N2 - Moderada
2012-10-18,54,N2 - Moderada
2012-10-19,51,N2 - Moderada
2012-10-20,51,N2 - Moderada
2012-10-21,57,N2 - Moderada
2012-10-22,22,N1 - Boa
2012-10-23,53,N2 - Moderada
2012-10-24,36,N1 - Boa
2012-10-25,45,N2 - Moderada
2012-10-26,51,N2 - Moderada
2012-10-27,55,N2 - Moderada
2012-10-28,56,N2 - Moderada
2012-10-29,49,N2 - Moderada
2012-10-30,66,N2 - Moderada
2012-10-31,79,N2 - Moderada
2012-11-01,44,N2 - Moderada
2012-11-02,30,N1 - Boa
2012-11-03,31,N1 - Boa
2012-11-04,32,N1 - Boa
2012-11-05,38,N1 - Boa
2012-11-06,34,N1 - Boa
2012-11-07,39,N1 - Boa
2012-11-08,48,N2 - Moderada
2012-11-09,63,N2 - Moderada
2012-11-10,43,N2 - Moderada
2012-11-11,8,N1 - Boa
2012-11-12,6,N1 - Boa
2012-11-13,36,N1 - Boa
2012-11-14,31,N1 - Boa
2012-11-15,28,N1 - Boa
2012-11-16,35,N1 - Boa
2012-11-17,29,N1 - Boa
2012-11-18,27,N1 - Boa
2012-11-19,31,N1 - Boa
2012-11-20,38,N1 - Boa
2012-11-21,39,N1 - Boa
2012-11-22,35,N1 - Boa
2012-11-23,35,N1 - Boa
2012-11-24,61,N2 - Moderada
2012-11-25,48,N2 - Moderada
2012-11-26,35,N1 - Boa
2012-11-27,35,N1 - Boa
2012-11-28,34,N1 - Boa
2012-11-29,33,N1 - Boa
2012-11-30,32,N1 - Boa
2012-12-01,34,N1 - Boa
2012-12-02,57,N2 - Moderada
2012-12-03,50,N2 - Moderada
2012-12-04,43,N2 - Moderada
2012-12-05,44,N2 - Moderada
2012-12-06,51,N2 - Moderada
2012-12-07,68,N2 - Moderada
2012-12-08,63,N2 - Moderada
2012-12-09,36,N1 - Boa
2012-12-10,42,N2 - Moderada
2012-12-11,52,N2 - Moderada
2012-12-12,46,N2 - Moderada
2012-12-13,49,N2 - Moderada
2012-12-14,49,N2 - Moderada
2012-12-15,45,N2 - Moderada
2012-12-16,46,N2 - Moderada
2012-12-17,41,N2 - Moderada
2012-12-18,38,N1 - Boa
2012-12-19,34,N1 - Boa
2012-12-20,48,N2 - Moderada
2012-12-21,53,N2 - Moderada
2012-12-22,51,N2 - Moderada
2012-12-23,45,N2 - Moderada
2012-12-24,39,N1 - Boa
2012-12-25,45,N2 - Moderada
2012-12-26,53,N2 - Moderada
2012-12-27,59,N2 - Moderada
2012-12-28,9,N1 - Boa
2012-12-29,87,N3 - Ruim
2012-12-30,67,N2 - Moderada
2012-12-31,64,N2 - Moderada
2013-01-01,71,N2 - Moderada
2013-01-02,53,N2 - Moderada
2013-01-03,45,N2 - Moderada
2013-01-04,44,N2 - Moderada
2013-01-05,50,N2 - Moderada
2013-01-06,50,N2 - Moderada
2013-01-07,60,N2 - Moderada
