data_dia,AQI,Qualidade_do_Ar
2012-01-01,23,N1 - Boa
2012-01-02,14,N1 - Boa
2012-01-03,14,N1 - Boa
2012-01-04,33,N1 - Boa
2012-01-05,24,N1 - Boa
2012-01-06,23,N1 - Boa
2012-01-07,25,N1 - Boa
2012-01-08,28,N1 - Boa
2012-01-09,15,N1 - Boa
2012-01-10,18,N1 - Boa
2012-01-11,16,N1 - Boa
2012-01-12,19,N1 - Boa
2012-01-13,23,N1 - Boa
2012-01-14,27,N1 - Boa
2012-01-15,27,N1 - Boa
2012-01-16,88,N3 - Ruim
2012-01-17,155,N4 - Muito Ruim
2012-01-18,101,N3 - Ruim
2012-01-19,110,N3 - Ruim
2012-01-20,122,N4 - Muito Ruim
2012-01-21,124,N4 - Muito Ruim
2012-01-22,126,N4 - Muito Ruim
2012-01-23,110,N3 - Ruim
2012-01-24,38,N1 - Boa
2012-01-25,26,N1 - Boa
2012-01-26,39,N1 - Boa
2012-01-27,21,N1 - Boa
2012-01-28,24,N1 - Boa
2012-01-29,13,N1 - Boa
2012-01-30,26,N1 - Boa
2012-01-31,25,N1 - Boa
2012-02-01,42,N2 - Moderada
2012-02-02,57,N2 - Moderada
2012-02-03,48,N2 - Moderada
2012-02-04,93,N3 - Ruim
2012-02-05,54,N2 - Moderada
2012-02-06,61,N2 - Moderada
2012-02-07,199,N4 - Muito Ruim
2012-02-08,145,N4 - Muito Ruim
2012-02-09,219,N5 - Péssima
2012-02-10,145,N4 - Muito Ruim
2012-02-11,36,N1 - Boa
2012-02-12,75,N2 - Moderada
2012-02-13,72,N2 - Moderada
2012-02-14,39,N1 - Boa
2012-02-15,33,N1 - Boa
2012-02-16,26,N1 - Boa
2012-02-17,31,N1 - Boa
2012-02-18,44,N2 - Moderada
2012-02-19,50,N2 - Moderada
2012-02-20,69,N2 - Moderada
2012-02-21,31,N1 - Boa
2012-02-22,39,N1 - Boa
2012-02-23,60,N2 - Moderada
2012-02-24,101,N3 - Ruim
2012-02-25,207,N5 - Péssima
2012-02-26,92,N3 - Ruim
2012-02-27,83,N3 - Ruim
2012-02-28,143,N4 - Muito Ruim
2012-02-29,117,N3 - Ruim
2012-03-01,203,N5 - Péssima
2012-03-02,201,N5 - Péssima
2012-03-03,87,N3 - Ruim
2012-03-04,21,N1 - Boa
2012-03-05,81,N3 - Ruim
2012-03-06,35,N1 - Boa
2012-03-07,27,N1 - Boa
2012-03-08,42,N2 - Moderada
2012-03-09,51,N2 - Moderada
2012-03-10,68,N2 - Moderada
2012-03-11,110,N3 - Ruim
2012-03-12,95,N3 - Ruim
2012-03-13,89,N3 - Ruim
2012-03-14,32,N1 - Boa
2012-03-15,59,N2 - Moderada
2012-03-16,31,N1 - Boa
2012-03-17,20,N1 - Boa
2012-03-18,21,N1 - Boa
2012-03-19,20,N1 - Boa
2012-03-20,30,N1 - Boa
2012-03-21,90,N3 - Ruim
2012-03-22,34,N1 - Boa
2012-03-23,48,N2 - Moderada
2012-03-24,88,N3 - Ruim
2012-03-25,75,N2 - Moderada
2012-03-26,103,N3 - Ruim
2012-03-27,41,N2 - Moderada
2012-03-28,24,N1 - Boa
2012-03-29,17,N1 - Boa
2012-03-30,28,N1 - Boa
2012-03-31,22,N1 - Boa
2012-04-01,37,N1 - Boa
2012-04-02,38,N1 - Boa
2012-04-03,84,N3 - Ruim
2012-04-04,44,N2 - Moderada
2012-04-05,40,N1 - Boa
2012-04-06,35,N1 - Boa
2012-04-07,31,N1 - Boa
2012-04-08,45,N2 - Moderada
2012-04-09,32,N1 - Boa
2012-04-10,26,N1 - Boa
2012-04-11,44,N2 - Moderada
2012-04-12,34,N1 - Boa
2012-04-13,30,N1 - Boa
2012-04-14,175,N4 - Muito Ruim
2012-04-15,64,N2 - Moderada
2012-04-16,33,N1 - Boa
2012-04-17,26,N1 - Boa
2012-04-18,28,N1 - Boa
2012-04-19,29,N1 - Boa
2012-04-20,62,N2 - Moderada
2012-04-21,46,N2 - Moderada
2012-04-22,19,N1 - Boa
2012-04-23,20,N1 - Boa
2012-04-24,29,N1 - Boa
2012-04-25,37,N1 - Boa
2012-04-26,44,N2 - Moderada
2012-04-27,24,N1 - Boa
2012-04-28,20,N1 - Boa
2012-04-29,17,N1 - Boa
2012-04-30,13,N1 - Boa
2012-05-01,13,N1 - Boa
2012-05-02,23,N1 - Boa
2012-05-03,19,N1 - Boa
2012-05-04,21,N1 - Boa
2012-05-05,27,N1 - Boa
2012-05-06,29,N1 - Boa
2012-05-07,22,N1 - Boa
2012-05-08,21,N1 - Boa
2012-05-09,28,N1 - Boa
2012-05-10,33,N1 - Boa
2012-05-11,51,N2 - Moderada
2012-05-12,49,N2 - Moderada
2012-05-13,23,N1 - Boa
2012-05-14,17,N1 - Boa
2012-05-15,16,N1 - Boa
2012-05-16,20,N1 - Boa
2012-05-17,16,N1 - Boa
2012-05-18,24,N1 - Boa
2012-05-19,22,N1 - Boa
2012-05-20,17,N1 - Boa
2012-05-21,27,N1 - Boa
2012-05-22,24,N1 - Boa
2012-05-23,29,N1 - Boa
2012-05-24,31,N1 - Boa
2012-05-25,57,N2 - Moderada
