data_dia,AQI,Qualidade_do_Ar
2012-01-01,16,N1 - Boa
2012-01-02,9,N1 - Boa
2012-01-03,17,N1 - Boa
2012-01-04,19,N1 - Boa
2012-01-05,25,N1 - Boa
2012-01-06,22,N1 - Boa
2012-01-07,27,N1 - Boa
2012-01-08,42,N2 - Moderada
2012-01-09,21,N1 - Boa
2012-01-10,30,N1 - Boa
2012-01-11,27,N1 - Boa
2012-01-12,32,N1 - Boa
2012-01-13,60,N2 - Moderada
2012-01-14,21,N1 - Boa
2012-01-15,22,N1 - Boa
2012-01-16,21,N1 - Boa
2012-01-17,32,N1 - Boa
2012-01-18,32,N1 - Boa
2012-01-19,36,N1 - Boa
2012-01-20,33,N1 - Boa
2012-01-21,48,N2 - Moderada
2012-01-22,26,N1 - Boa
2012-01-23,38,N1 - Boa
2012-01-24,42,N2 - Moderada
2012-01-25,46,N2 - Moderada
2012-01-26,73,N2 - Moderada
2012-01-27,20,N1 - Boa
2012-01-28,15,N1 - Boa
2012-01-29,23,N1 - Boa
2012-01-30,25,N1 - Boa
2012-01-31,21,N1 - Boa
2012-02-01,31,N1 - Boa
2012-02-02,48,N2 - Moderada
2012-02-03,24,N1 - Boa
2012-02-04,37,N1 - Boa
2012-02-05,35,N1 - Boa
2012-02-06,50,N2 - Moderada
2012-02-07,96,N3 - Ruim
2012-02-08,106,N3 - Ruim
2012-02-09,68,N2 - Moderada
2012-02-10,60,N2 - Moderada
2012-02-11,51,N2 - Moderada
2012-02-12,38,N1 - Boa
2012-02-13,25,N1 - Boa
2012-02-14,24,N1 - Boa
2012-02-15,20,N1 - Boa
2012-02-16,23,N1 - Boa
2012-02-17,25,N1 - Boa
2012-02-18,27,N1 - Boa
2012-02-19,23,N1 - Boa
2012-02-20,27,N1 - Boa
2012-02-21,26,N1 - Boa
2012-02-22,26,N1 - Boa
2012-02-23,39,N1 - Boa
2012-02-24,40,N1 - Boa
2012-02-25,44,N2 - Moderada
2012-02-26,50,N2 - Moderada
2012-02-27,39,N1 - Boa
2012-02-28,52,N2 - Moderada
2012-02-29,53,N2 - Moderada
2012-03-01,76,N2 - Moderada
2012-03-02,95,N3 - Ruim
2012-03-03,32,N1 - Boa
2012-03-04,19,N1 - Boa
2012-03-05,33,N1 - Boa
2012-03-06,25,N1 - Boa
2012-03-07,18,N1 - Boa
2012-03-08,24,N1 - Boa
2012-03-09,26,N1 - Boa
2012-03-10,25,N1 - Boa
2012-03-11,35,N1 - Boa
2012-03-12,42,N2 - Moderada
2012-03-13,35,N1 - Boa
2012-03-14,39,N1 - Boa
2012-03-15,30,N1 - Boa
2012-03-16,18,N1 - Boa
2012-03-17,20,N1 - Boa
2012-03-18,16,N1 - Boa
2012-03-19,16,N1 - Boa
2012-03-20,26,N1 - Boa
2012-03-21,27,N1 - Boa
2012-03-22,46,N2 - Moderada
2012-03-23,25,N1 - Boa
2012-03-24,27,N1 - Boa
2012-03-25,35,N1 - Boa
2012-03-26,28,N1 - Boa
2012-03-27,43,N2 - Moderada
2012-03-28,27,N1 - Boa
2012-03-29,14,N1 - Boa
2012-03-30,26,N1 - Boa
2012-03-31,16,N1 - Boa
2012-04-01,21,N1 - Boa
2012-04-02,19,N1 - Boa
2012-04-03,34,N1 - Boa
2012-04-04,31,N1 - Boa
2012-04-05,27,N1 - Boa
2012-04-06,29,N1 - Boa
2012-04-07,26,N1 - Boa
2012-04-08,27,N1 - Boa
2012-04-09,34,N1 - Boa
2012-04-10,22,N1 - Boa
2012-04-11,19,N1 - Boa
2012-04-12,18,N1 - Boa
2012-04-13,30,N1 - Boa
2012-04-14,52,N2 - Moderada
2012-04-15,47,N2 - Moderada
2012-04-16,26,N1 - Boa
2012-04-17,10,N1 - Boa
2012-04-18,21,N1 - Boa
2012-04-19,22,N1 - Boa
2012-04-20,36,N1 - Boa
2012-04-21,57,N2 - Moderada
2012-04-22,23,N1 - Boa
2012-04-23,19,N1 - Boa
2012-04-24,23,N1 - Boa
2012-04-25,24,N1 - Boa
2012-04-26,53,N2 - Moderada
2012-04-27,19,N1 - Boa
2012-04-28,24,N1 - Boa
2012-04-29,21,N1 - Boa
2012-04-30,14,N1 - Boa
2012-05-01,12,N1 - Boa
2012-05-02,24,N1 - Boa
2012-05-03,15,N1 - Boa
2012-05-04,15,N1 - Boa
2012-05-05,25,N1 - Boa
2012-05-06,19,N1 - Boa
2012-05-07,20,N1 - Boa
2012-05-08,18,N1 - Boa
2012-05-09,24,N1 - Boa
2012-05-10,32,N1 - Boa
2012-05-11,59,N2 - Moderada
2012-05-12,55,N2 - Moderada
2012-05-13,23,N1 - Boa
2012-05-14,15,N1 - Boa
2012-05-15,13,N1 - Boa
2012-05-16,19,N1 - Boa
2012-05-17,14,N1 - Boa
2012-05-18,26,N1 - Boa
2012-05-19,25,N1 - Boa
2012-05-20,23,N1 - Boa
2012-05-21,26,N1 - Boa
2012-05-22,23,N1 - Boa
2012-05-23,26,N1 - Boa
2012-05-24,31,N1 - Boa
2012-05-25,61,N2 - Moderada
2012-05-26,39,N1 - Boa
2012-05-27,43,N2 - Moderada
2012-05-28,61,N2 - Moderada
2012-05-29,55,N2 - Moderada
2012-05-30,76,N2 - Moderada
2012-05-31,55,N2 - Moderada
2012-06-01,34,N1 - Boa
2012-06-02,22,N1 - Boa
2012-06-03,52,N2 - Moderada
2012-06-04,58,N2 - Moderada
2012-06-05,46,N2 - Moderada
2012-06-06,32,N1 - Boa
2012-06-07,19,N1 - Boa
2012-06-08,15,N1 - Boa
2012-06-09,18,N1 - Boa
2012-06-10,19,N1 - Boa
2012-06-11,22,N1 - Boa
2012-06-12,33,N1 - Boa
2012-06-13,34,N1 - Boa
2012-06-14,31,N1 - Boa
2012-06-15,40,N1 - Boa
2012-06-16,51,N2 - Moderada
2012-06-17,46,N2 - Moderada
2012-06-18,37,N1 - Boa
2012-06-19,65,N2 - Moderada
2012-06-20,51,N2 - Moderada
2012-06-21,38,N1 - Boa
2012-06-22,16,N1 - Boa
2012-06-23,17,N1 - Boa
2012-06-24,30,N1 - Boa
2012-06-25,28,N1 - Boa
2012-06-26,30,N1 - Boa
2012-06-27,27,N1 - Boa
2012-06-28,39,N1 - Boa
2012-06-29,57,N2 - Moderada
2012-06-30,58,N2 - Moderada
2012-07-01,53,N2 - Moderada
2012-07-02,47,N2 - Moderada
2012-07-03,61,N2 - Moderada
2012-07-04,46,N2 - Moderada
2012-07-05,34,N1 - Boa
2012-07-06,43,N2 - Moderada
2012-07-07,48,N2 - Moderada
2012-07-08,23,N1 - Boa
2012-07-09,16,N1 - Boa
2012-07-10,25,N1 - Boa
2012-07-11,55,N2 - Moderada
2012-07-12,45,N2 - Moderada
2012-07-13,20,N1 - Boa
2012-07-14,36,N1 - Boa
2012-07-15,24,N1 - Boa
2012-07-16,27,N1 - Boa
2012-07-17,20,N1 - Boa
2012-07-18,12,N1 - Boa
2012-07-19,20,N1 - Boa
2012-07-20,27,N1 - Boa
2012-07-21,46,N2 - Moderada
2012-07-22,78,N2 - Moderada
2012-07-23,55,N2 - Moderada
2012-07-24,78,N2 - Moderada
2012-07-25,66,N2 - Moderada
2012-07-26,43,N2 - Moderada
2012-07-27,53,N2 - Moderada
2012-07-28,47,N2 - Moderada
2012-07-29,43,N2 - Moderada
2012-07-30,50,N2 - Moderada
2012-07-31,45,N2 - Moderada
2012-08-01,22,N1 - Boa
2012-08-02,23,N1 - Boa
2012-08-03,32,N1 - Boa
2012-08-04,35,N1 - Boa
2012-08-05,54,N2 - Moderada
2012-08-06,21,N1 - Boa
2012-08-07,23,N1 - Boa
2012-08-08,22,N1 - Boa
2012-08-09,20,N1 - Boa
2012-08-10,26,N1 - Boa
2012-08-11,28,N1 - Boa
2012-08-12,26,N1 - Boa
2012-08-13,21,N1 - Boa
2012-08-14,22,N1 - Boa
2012-08-15,22,N1 - Boa
2012-08-16,22,N1 - Boa
2012-08-17,29,N1 - Boa
2012-08-18,31,N1 - Boa
2012-08-19,28,N1 - Boa
2012-08-20,24,N1 - Boa
2012-08-21,25,N1 - Boa
2012-08-22,24,N1 - Boa
2012-08-23,28,N1 - Boa
2012-08-24,27,N1 - Boa
2012-08-25,29,N1 - Boa
2012-08-26,39,N1 - Boa
2012-08-27,45,N2 - Moderada
2012-08-28,38,N1 - Boa
2012-08-29,21,N1 - Boa
2012-08-30,19,N1 - Boa
2012-08-31,22,N1 - Boa
2012-09-01,29,N1 - Boa
2012-09-02,45,N2 - Moderada
2012-09-03,48,N2 - Moderada
2012-09-04,26,N1 - Boa
2012-09-05,29,N1 - Boa
2012-09-06,46,N2 - Moderada
2012-09-07,69,N2 - Moderada
2012-09-08,44,N2 - Moderada
2012-09-09,56,N2 - Moderada
2012-09-10,46,N2 - Moderada
2012-09-11,54,N2 - Moderada
2012-09-12,47,N2 - Moderada
2012-09-13,31,N1 - Boa
2012-09-14,18,N1 - Boa
2012-09-15,22,N1 - Boa
2012-09-16,22,N1 - Boa
2012-09-17,48,N2 - Moderada
2012-09-18,27,N1 - Boa
2012-09-19,65,N2 - Moderada
2012-09-20,62,N2 - Moderada
2012-09-21,43,N2 - Moderada
2012-09-22,18,N1 - Boa
2012-09-23,27,N1 - Boa
2012-09-24,20,N1 - Boa
2012-09-25,33,N1 - Boa
2012-09-26,13,N1 - Boa
2012-09-27,16,N1 - Boa
2012-09-28,23,N1 - Boa
2012-09-29,23,N1 - Boa
2012-09-30,23,N1 - Boa
2012-10-01,22,N1 - Boa
2012-10-02,27,N1 - Boa
2012-10-03,25,N1 - Boa
2012-10-04,29,N1 - Boa
2012-10-05,35,N1 - Boa
2012-10-06,27,N1 - Boa
2012-10-07,23,N1 - Boa
2012-10-08,24,N1 - Boa
2012-10-09,23,N1 - Boa
2012-10-10,36,N1 - Boa
2012-10-11,46,N2 - Moderada
2012-10-12,22,N1 - Boa
2012-10-13,15,N1 - Boa
2012-10-14,19,N1 - Boa
2012-10-15,19,N1 - Boa
2012-10-16,18,N1 - Boa
2012-10-17,33,N1 - Boa
2012-10-18,46,N2 - Moderada
2012-10-19,25,N1 - Boa
2012-10-20,31,N1 - Boa
2012-10-21,35,N1 - Boa
2012-10-22,28,N1 - Boa
2012-10-23,38,N1 - Boa
2012-10-24,17,N1 - Boa
2012-10-25,1,N1 - Boa
2012-10-26,32,N1 - Boa
2012-10-27,49,N2 - Moderada
2012-10-28,53,N2 - Moderada
2012-10-29,31,N1 - Boa
2012-10-30,66,N2 - Moderada
2012-10-31,93,N3 - Ruim
2012-11-01,27,N1 - Boa
2012-11-02,16,N1 - Boa
