data_dia,nome_estacao,codnum,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,temp_min,temp_max,AQI,Qualidade_do_Ar
2012-01-01,ESTAÇÃO BANGU,2,2012,1,1,10.8,26.088,89.141,0.504,2.617,12.113,14.73,0.534,28.365,21.786,,-22.888,-43.471,24.49,27.97,17,N1 - Boa
2012-01-02,ESTAÇÃO BANGU,2,2012,1,2,63.8,22.874,94.992,0.234,4.322,11.511,15.828,0.312,23.875,5.708,,-22.888,-43.471,22.0,24.02,13,N1 - Boa
2012-01-03,ESTAÇÃO BANGU,2,2012,1,3,0.0,24.991,76.596,0.334,6.184,13.149,19.333,0.598,23.96,16.917,,-22.888,-43.471,20.07,29.45,19,N1 - Boa
2012-01-04,ESTAÇÃO BANGU,2,2012,1,4,0.4,26.351,70.598,0.403,14.319,28.952,43.272,0.775,34.962,40.167,,-22.888,-43.471,21.78,31.69,34,N1 - Boa
2012-01-05,ESTAÇÃO BANGU,2,2012,1,5,0.0,27.145,71.04,0.449,7.699,21.365,29.065,0.337,42.46,32.583,,-22.888,-43.471,22.09,32.24,37,N1 - Boa
2012-01-06,ESTAÇÃO BANGU,2,2012,1,6,11.0,27.487,74.438,0.378,5.536,22.833,28.343,4.65,41.192,21.333,,-22.888,-43.471,24.18,35.33,30,N1 - Boa
2012-01-07,ESTAÇÃO BANGU,2,2012,1,7,0.0,28.038,66.354,0.246,2.774,9.378,12.135,0.22,40.057,11.312,,-22.888,-43.471,24.16,32.94,25,N1 - Boa
2012-01-08,ESTAÇÃO BANGU,2,2012,1,8,33.0,26.286,80.611,0.458,4.02,18.33,22.346,4.485,52.459,28.125,,-22.888,-43.471,23.27,30.38,33,N1 - Boa
2012-01-09,ESTAÇÃO BANGU,2,2012,1,9,3.2,25.06,85.079,0.298,6.566,21.08,27.646,0.618,22.93,9.958,,-22.888,-43.471,22.46,27.9,23,N1 - Boa
2012-01-10,ESTAÇÃO BANGU,2,2012,1,10,23.4,26.08,78.218,0.41,17.409,26.558,43.966,0.139,20.678,19.5,,-22.888,-43.471,22.07,30.32,16,N1 - Boa
2012-01-11,ESTAÇÃO BANGU,2,2012,1,11,0.4,26.095,81.525,0.368,8.563,25.149,33.711,0.007,25.643,21.875,,-22.888,-43.471,22.64,30.7,23,N1 - Boa
2012-01-12,ESTAÇÃO BANGU,2,2012,1,12,0.0,28.487,69.97,0.375,10.076,23.657,33.731,2.573,29.523,25.042,,-22.888,-43.471,24.25,32.9,29,N1 - Boa
2012-01-13,ESTAÇÃO BANGU,2,2012,1,13,9.6,31.315,59.992,0.366,13.644,20.002,33.646,0.285,24.529,23.771,,-22.888,-43.471,25.14,36.67,20,N1 - Boa
2012-01-14,ESTAÇÃO BANGU,2,2012,1,14,0.0,35.235,44.169,0.258,6.286,17.569,23.86,0.011,33.069,20.571,,-22.888,-43.471,31.71,38.23,19,N1 - Boa
2012-01-15,ESTAÇÃO BANGU,2,2012,1,15,11.2,31.827,55.065,0.295,3.68,13.136,16.805,0.018,32.382,14.75,,-22.888,-43.471,26.02,36.22,18,N1 - Boa
2012-01-16,ESTAÇÃO BANGU,2,2012,1,16,1.0,27.973,79.921,0.407,5.908,21.217,27.116,3.613,35.316,20.792,,-22.888,-43.471,25.26,33.89,27,N1 - Boa
2012-01-17,ESTAÇÃO BANGU,2,2012,1,17,0.0,28.529,75.661,0.589,19.696,38.515,58.21,3.509,54.468,46.875,,-22.888,-43.471,25.07,34.09,99,N3 - Ruim
2012-01-18,ESTAÇÃO BANGU,2,2012,1,18,0.0,28.746,72.191,0.329,3.995,17.201,21.194,1.597,62.758,38.0,,-22.888,-43.471,25.37,33.99,61,N2 - Moderada
2012-01-19,ESTAÇÃO BANGU,2,2012,1,19,2.0,28.255,73.139,0.281,7.309,18.69,25.993,0.476,50.064,38.75,,-22.888,-43.471,25.21,34.28,35,N1 - Boa
2012-01-20,ESTAÇÃO BANGU,2,2012,1,20,0.0,28.47,72.305,0.353,4.895,18.434,23.323,2.414,42.374,27.625,,-22.888,-43.471,24.45,34.0,28,N1 - Boa
2012-01-21,ESTAÇÃO BANGU,2,2012,1,21,0.0,29.982,65.419,0.4,7.157,25.75,32.909,2.837,59.215,40.083,,-22.888,-43.471,24.91,35.53,84,N3 - Ruim
2012-01-22,ESTAÇÃO BANGU,2,2012,1,22,0.0,30.127,63.702,0.367,6.568,22.542,29.096,2.522,44.304,34.667,,-22.888,-43.471,25.73,34.34,60,N2 - Moderada
2012-01-23,ESTAÇÃO BANGU,2,2012,1,23,0.0,31.097,59.149,0.366,5.699,19.151,24.85,1.495,36.186,26.042,,-22.888,-43.471,25.64,37.16,34,N1 - Boa
2012-01-24,ESTAÇÃO BANGU,2,2012,1,24,0.0,31.871,53.015,0.241,5.25,16.138,21.37,4.879,31.466,29.333,,-22.888,-43.471,26.2,38.06,27,N1 - Boa
2012-01-25,ESTAÇÃO BANGU,2,2012,1,25,0.0,32.631,48.972,0.369,6.528,16.399,22.901,0.0,29.045,26.854,,-22.888,-43.471,27.75,38.03,22,N1 - Boa
2012-01-26,ESTAÇÃO BANGU,2,2012,1,26,0.2,29.829,63.832,0.267,4.137,15.916,20.048,0.043,38.772,29.708,,-22.888,-43.471,25.54,32.91,25,N1 - Boa
2012-01-27,ESTAÇÃO BANGU,2,2012,1,27,17.4,23.04,90.997,0.129,4.46,9.803,14.233,0.252,30.083,4.647,,-22.888,-43.471,22.17,25.0,18,N1 - Boa
2012-01-28,ESTAÇÃO BANGU,2,2012,1,28,13.2,22.271,91.395,0.228,6.095,16.04,22.11,0.087,26.654,7.5,,-22.888,-43.471,20.49,26.06,15,N1 - Boa
2012-01-29,ESTAÇÃO BANGU,2,2012,1,29,17.4,22.566,89.163,0.322,5.882,13.535,19.417,2.957,18.201,7.875,,-22.888,-43.471,21.66,23.96,10,N1 - Boa
2012-01-30,ESTAÇÃO BANGU,2,2012,1,30,0.0,24.523,80.313,0.438,17.126,20.795,37.919,0.509,19.421,23.896,,-22.888,-43.471,20.93,29.02,19,N1 - Boa
2012-01-31,ESTAÇÃO BANGU,2,2012,1,31,2.6,25.544,82.015,0.325,9.836,26.653,36.49,0.112,25.846,26.417,,-22.888,-43.471,22.77,30.05,21,N1 - Boa
2012-02-01,ESTAÇÃO BANGU,2,2012,2,1,37.0,28.412,70.103,0.405,10.859,22.199,33.055,3.132,36.382,23.708,,-22.888,-43.471,22.54,35.88,30,N1 - Boa
2012-02-02,ESTAÇÃO BANGU,2,2012,2,2,0.0,29.774,65.593,0.264,8.682,20.602,29.283,0.423,39.617,29.292,,-22.888,-43.471,24.08,35.41,38,N1 - Boa
2012-02-03,ESTAÇÃO BANGU,2,2012,2,3,0.0,30.336,58.482,0.272,6.47,18.266,24.734,0.012,37.952,27.375,,-22.888,-43.471,24.41,37.17,36,N1 - Boa
2012-02-04,ESTAÇÃO BANGU,2,2012,2,4,0.0,30.335,56.53,0.199,4.022,13.406,17.419,0.0,39.113,21.438,,-22.888,-43.471,23.9,37.0,32,N1 - Boa
2012-02-05,ESTAÇÃO BANGU,2,2012,2,5,0.0,31.174,55.174,0.178,3.891,12.859,16.748,0.0,35.798,20.667,,-22.888,-43.471,24.78,38.18,27,N1 - Boa
2012-02-06,ESTAÇÃO BANGU,2,2012,2,6,0.0,32.243,54.16,0.305,7.548,22.608,30.154,0.001,39.912,31.25,,-22.888,-43.471,25.81,39.67,31,N1 - Boa
2012-02-07,ESTAÇÃO BANGU,2,2012,2,7,0.0,32.34,53.6,0.488,5.042,22.87,27.906,0.0,64.232,51.938,,-22.888,-43.471,26.81,38.87,63,N2 - Moderada
2012-02-08,ESTAÇÃO BANGU,2,2012,2,8,0.0,30.934,54.896,0.437,4.57,21.348,25.918,2.02,56.2,50.646,,-22.888,-43.471,25.75,36.84,50,N2 - Moderada
2012-02-09,ESTAÇÃO BANGU,2,2012,2,9,0.0,31.584,54.363,0.501,4.989,24.65,29.64,1.435,68.845,53.625,,-22.888,-43.471,26.09,38.03,71,N2 - Moderada
2012-02-10,ESTAÇÃO BANGU,2,2012,2,10,0.0,30.847,62.564,0.463,4.028,18.864,22.888,1.657,59.941,54.125,,-22.888,-43.471,27.48,36.51,44,N2 - Moderada
2012-02-11,ESTAÇÃO BANGU,2,2012,2,11,11.6,28.546,76.153,0.4,4.62,15.111,19.728,0.0,38.566,28.312,,-22.888,-43.471,25.22,33.08,27,N1 - Boa
2012-02-12,ESTAÇÃO BANGU,2,2012,2,12,35.2,27.496,80.174,0.37,3.363,14.059,17.398,0.294,45.073,15.667,,-22.888,-43.471,24.28,33.61,25,N1 - Boa
2012-02-13,ESTAÇÃO BANGU,2,2012,2,13,0.0,28.166,78.405,0.551,8.136,25.47,33.594,1.526,45.869,25.771,,-22.888,-43.471,24.49,35.01,42,N2 - Moderada
2012-02-14,ESTAÇÃO BANGU,2,2012,2,14,0.0,29.719,64.07,0.285,9.59,22.202,31.794,0.356,31.875,25.125,,-22.888,-43.471,25.29,35.05,31,N1 - Boa
2012-02-15,ESTAÇÃO BANGU,2,2012,2,15,0.0,29.417,62.288,0.218,7.004,16.708,23.711,0.173,30.491,20.292,,-22.888,-43.471,25.46,34.6,28,N1 - Boa
2012-02-16,ESTAÇÃO BANGU,2,2012,2,16,0.0,28.455,64.914,0.228,6.908,16.261,23.165,0.459,26.746,23.042,,-22.888,-43.471,25.31,33.68,22,N1 - Boa
2012-02-17,ESTAÇÃO BANGU,2,2012,2,17,0.0,29.103,64.99,0.266,6.594,16.742,23.338,0.39,32.587,24.771,,-22.888,-43.471,25.23,33.83,30,N1 - Boa
2012-02-18,ESTAÇÃO BANGU,2,2012,2,18,0.0,29.801,58.15,0.279,3.601,14.564,18.158,1.535,44.937,19.708,,-22.888,-43.471,24.63,34.66,37,N1 - Boa
2012-02-19,ESTAÇÃO BANGU,2,2012,2,19,0.0,30.654,59.248,0.224,3.722,13.919,17.63,1.19,34.277,20.5,,-22.888,-43.471,25.78,36.65,26,N1 - Boa
2012-02-20,ESTAÇÃO BANGU,2,2012,2,20,0.0,30.786,57.53,0.281,3.78,13.895,17.666,0.308,36.509,22.5,,-22.888,-43.471,25.77,36.04,30,N1 - Boa
2012-02-21,ESTAÇÃO BANGU,2,2012,2,21,0.0,30.462,52.931,0.235,3.677,13.488,17.164,0.402,23.938,19.708,,-22.888,-43.471,25.04,34.55,22,N1 - Boa
2012-02-22,ESTAÇÃO BANGU,2,2012,2,22,0.0,31.69,51.175,0.35,4.56,16.214,20.761,0.265,29.662,24.167,,-22.888,-43.471,26.86,38.79,24,N1 - Boa
2012-02-23,ESTAÇÃO BANGU,2,2012,2,23,0.0,31.843,52.214,0.222,3.21,11.476,14.669,1.721,43.047,20.604,,-22.888,-43.471,28.93,36.72,26,N1 - Boa
2012-02-24,ESTAÇÃO BANGU,2,2012,2,24,0.0,30.624,59.645,0.253,2.995,12.448,15.426,2.928,62.922,31.104,,-22.888,-43.471,26.68,34.96,33,N1 - Boa
2012-02-25,ESTAÇÃO BANGU,2,2012,2,25,0.0,30.555,65.459,0.424,6.438,22.69,29.122,1.791,72.03,48.604,,-22.888,-43.471,26.79,36.62,111,N3 - Ruim
2012-02-26,ESTAÇÃO BANGU,2,2012,2,26,0.0,32.776,52.198,0.346,5.824,21.366,27.191,0.202,35.177,42.917,,-22.888,-43.471,26.67,40.05,46,N2 - Moderada
2012-02-27,ESTAÇÃO BANGU,2,2012,2,27,0.0,32.032,56.151,0.389,4.155,17.472,21.625,0.045,50.975,36.417,,-22.888,-43.471,28.0,36.04,30,N1 - Boa
2012-02-28,ESTAÇÃO BANGU,2,2012,2,28,0.0,31.281,60.099,0.452,4.19,17.688,21.868,0.02,63.633,40.521,,-22.888,-43.471,26.18,38.02,66,N2 - Moderada
2012-02-29,ESTAÇÃO BANGU,2,2012,2,29,0.0,32.383,52.492,0.489,8.804,32.408,41.188,0.0,62.56,47.25,,-22.888,-43.471,26.47,38.98,108,N3 - Ruim
2012-03-01,ESTAÇÃO BANGU,2,2012,3,1,0.0,32.93,46.521,0.501,6.971,27.271,34.241,0.0,47.67,47.583,,-22.888,-43.471,26.6,40.72,62,N2 - Moderada
2012-03-02,ESTAÇÃO BANGU,2,2012,3,2,0.0,31.979,48.532,0.557,5.992,25.191,31.183,,59.733,44.588,,-22.888,-43.471,26.32,39.75,39,N1 - Boa
2012-03-03,ESTAÇÃO BANGU,2,2012,3,3,0.0,29.576,67.724,0.326,2.507,8.821,11.293,,59.337,24.208,,-22.888,-43.471,26.79,33.91,35,N1 - Boa
2012-03-04,ESTAÇÃO BANGU,2,2012,3,4,39.2,27.028,84.093,0.332,3.765,11.401,15.162,,27.102,11.042,,-22.888,-43.471,24.46,31.65,17,N1 - Boa
2012-03-05,ESTAÇÃO BANGU,2,2012,3,5,0.0,29.244,67.428,0.326,5.814,17.892,23.705,,43.209,24.521,,-22.888,-43.471,24.25,35.01,40,N1 - Boa
