data_dia,nome_estacao,codnum,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,AQI,Qualidade_do_Ar
2012-01-01,ESTAÇÃO CAMPO GRANDE,4,2012,1,1,9.0,26.206,89.69,0.547,3.813,25.716,29.528,1.059,39.362,17.619,,-22.886,-43.557,18,N1 - Boa
2012-01-02,ESTAÇÃO CAMPO GRANDE,4,2012,1,2,31.8,23.481,92.24,0.296,12.927,25.966,38.922,0.76,31.983,7.771,,-22.886,-43.557,19,N1 - Boa
2012-01-03,ESTAÇÃO CAMPO GRANDE,4,2012,1,3,0.0,25.649,72.78,0.277,25.054,26.908,51.889,1.523,25.606,20.042,,-22.886,-43.557,24,N1 - Boa
2012-01-04,ESTAÇÃO CAMPO GRANDE,4,2012,1,4,0.0,26.751,67.662,0.34,31.268,36.643,67.807,5.425,41.137,37.208,,-22.886,-43.557,48,N2 - Moderada
2012-01-05,ESTAÇÃO CAMPO GRANDE,4,2012,1,5,0.0,27.273,70.782,0.353,33.07,36.63,69.702,1.257,50.734,36.458,,-22.886,-43.557,58,N2 - Moderada
2012-01-06,ESTAÇÃO CAMPO GRANDE,4,2012,1,6,23.0,27.607,74.371,0.392,19.137,43.448,62.607,2.318,36.132,23.208,,-22.886,-43.557,28,N1 - Boa
2012-01-07,ESTAÇÃO CAMPO GRANDE,4,2012,1,7,0.2,28.044,67.77,0.332,9.053,22.362,31.418,1.756,56.28,13.083,,-22.886,-43.557,40,N1 - Boa
2012-01-08,ESTAÇÃO CAMPO GRANDE,4,2012,1,8,22.6,25.963,84.826,0.581,13.324,41.338,54.668,1.756,59.365,24.636,,-22.886,-43.557,39,N1 - Boa
2012-01-09,ESTAÇÃO CAMPO GRANDE,4,2012,1,9,1.6,25.6,83.383,0.393,26.732,39.71,66.469,1.851,27.555,16.208,,-22.886,-43.557,27,N1 - Boa
2012-01-10,ESTAÇÃO CAMPO GRANDE,4,2012,1,10,13.0,26.268,77.837,0.423,38.139,43.668,81.81,2.024,20.322,23.75,,-22.886,-43.557,19,N1 - Boa
2012-01-11,ESTAÇÃO CAMPO GRANDE,4,2012,1,11,0.6,26.612,80.023,0.52,22.346,48.333,70.675,2.379,29.617,28.729,,-22.886,-43.557,28,N1 - Boa
2012-01-12,ESTAÇÃO CAMPO GRANDE,4,2012,1,12,0.0,29.044,68.322,0.43,39.78,44.387,84.21,3.42,30.43,33.333,,-22.886,-43.557,32,N1 - Boa
2012-01-13,ESTAÇÃO CAMPO GRANDE,4,2012,1,13,9.0,28.947,70.191,0.472,33.776,40.036,73.804,4.004,31.339,33.021,,-22.886,-43.557,27,N1 - Boa
2012-01-14,ESTAÇÃO CAMPO GRANDE,4,2012,1,14,4.2,30.892,60.603,0.431,19.29,34.106,54.609,2.03,,24.312,,-22.886,-43.557,30,N1 - Boa
2012-01-15,ESTAÇÃO CAMPO GRANDE,4,2012,1,15,0.0,32.336,51.24,0.708,13.149,26.935,40.082,1.478,45.715,17.412,,-22.886,-43.557,21,N1 - Boa
2012-01-16,ESTAÇÃO CAMPO GRANDE,4,2012,1,16,0.6,28.706,74.414,0.657,11.807,41.927,53.776,4.049,58.394,17.0,,-22.886,-43.557,29,N1 - Boa
2012-01-17,ESTAÇÃO CAMPO GRANDE,4,2012,1,17,0.0,28.852,74.604,0.518,21.323,51.592,72.936,4.227,76.202,43.417,,-22.886,-43.557,192,N4 - Muito Ruim
2012-01-18,ESTAÇÃO CAMPO GRANDE,4,2012,1,18,0.0,28.895,71.692,0.302,15.534,31.524,47.04,2.746,78.418,30.833,,-22.886,-43.557,100,N3 - Ruim
2012-01-19,ESTAÇÃO CAMPO GRANDE,4,2012,1,19,4.6,28.361,74.689,0.362,25.893,38.672,64.541,3.624,65.25,42.167,,-22.886,-43.557,62,N2 - Moderada
2012-01-20,ESTAÇÃO CAMPO GRANDE,4,2012,1,20,0.0,28.6,70.751,0.37,10.05,34.82,44.88,3.313,51.191,27.708,,-22.886,-43.557,36,N1 - Boa
2012-01-21,ESTAÇÃO CAMPO GRANDE,4,2012,1,21,0.0,30.17,64.688,0.447,23.595,45.434,69.058,4.618,58.93,52.75,,-22.886,-43.557,85,N3 - Ruim
2012-01-22,ESTAÇÃO CAMPO GRANDE,4,2012,1,22,0.0,30.332,63.382,0.421,9.262,35.533,44.791,9.149,54.748,22.0,,-22.886,-43.557,77,N2 - Moderada
2012-01-23,ESTAÇÃO CAMPO GRANDE,4,2012,1,23,0.0,31.645,57.854,0.387,29.502,39.649,69.206,3.02,33.823,30.792,,-22.886,-43.557,35,N1 - Boa
2012-01-24,ESTAÇÃO CAMPO GRANDE,4,2012,1,24,0.0,32.225,52.526,0.401,38.011,38.62,76.6,3.001,25.821,34.917,,-22.886,-43.557,28,N1 - Boa
