data_dia,nome_estacao,codnum,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,AQI,Qualidade_do_Ar
2012-01-01,ESTAÇÃO CENTRO,3,2012,1,1,12.4,,,,,,,,,,,-22.908,-43.178,,
2012-01-02,ESTAÇÃO CENTRO,3,2012,1,2,68.4,,,,,,,,,,,-22.908,-43.178,,
2012-01-03,ESTAÇÃO CENTRO,3,2012,1,3,0.2,23.35,70.77,0.317,,,,,9.141,26.958,,-22.908,-43.178,22,N1 - Boa
2012-01-04,ESTAÇÃO CENTRO,3,2012,1,4,0.0,23.964,69.492,0.296,,,,,11.964,36.042,,-22.908,-43.178,29,N1 - Boa
2012-01-05,ESTAÇÃO CENTRO,3,2012,1,5,0.0,24.553,72.536,0.35,,,,,19.229,34.833,,-22.908,-43.178,28,N1 - Boa
2012-01-06,ESTAÇÃO CENTRO,3,2012,1,6,27.8,25.349,72.723,0.408,,,,,19.217,28.667,,-22.908,-43.178,23,N1 - Boa
2012-01-07,ESTAÇÃO CENTRO,3,2012,1,7,0.2,26.26,67.579,0.424,,,,,19.821,34.458,,-22.908,-43.178,28,N1 - Boa
2012-01-08,ESTAÇÃO CENTRO,3,2012,1,8,1.2,24.672,75.669,0.301,,,,,22.811,28.292,,-22.908,-43.178,23,N1 - Boa
2012-01-09,ESTAÇÃO CENTRO,3,2012,1,9,1.4,23.58,78.505,0.361,,,,,9.486,18.375,,-22.908,-43.178,15,N1 - Boa
2012-01-10,ESTAÇÃO CENTRO,3,2012,1,10,0.8,24.728,72.861,0.481,,,,,5.531,36.375,,-22.908,-43.178,29,N1 - Boa
2012-01-11,ESTAÇÃO CENTRO,3,2012,1,11,0.4,24.498,75.215,0.438,,,,,10.279,36.708,,-22.908,-43.178,29,N1 - Boa
2012-01-12,ESTAÇÃO CENTRO,3,2012,1,12,0.0,26.317,65.952,0.398,,,,,7.463,36.75,,-22.908,-43.178,29,N1 - Boa
2012-01-13,ESTAÇÃO CENTRO,3,2012,1,13,0.0,28.527,60.664,0.49,,,,,12.96,38.583,,-22.908,-43.178,31,N1 - Boa
2012-01-14,ESTAÇÃO CENTRO,3,2012,1,14,0.0,30.441,48.315,0.368,,,,,11.845,40.75,,-22.908,-43.178,33,N1 - Boa
2012-01-15,ESTAÇÃO CENTRO,3,2012,1,15,2.4,29.077,54.812,0.28,,,,,20.864,29.542,,-22.908,-43.178,24,N1 - Boa
2012-01-16,ESTAÇÃO CENTRO,3,2012,1,16,3.2,25.933,74.982,0.472,,,,,16.357,36.458,,-22.908,-43.178,29,N1 - Boa
2012-01-17,ESTAÇÃO CENTRO,3,2012,1,17,0.0,25.525,72.714,0.499,,,,,14.682,37.917,,-22.908,-43.178,30,N1 - Boa
2012-01-18,ESTAÇÃO CENTRO,3,2012,1,18,0.0,26.355,68.503,0.413,,,,,20.0,48.938,,-22.908,-43.178,39,N1 - Boa
2012-01-19,ESTAÇÃO CENTRO,3,2012,1,19,24.8,26.192,69.271,0.395,,,,,24.338,53.25,,-22.908,-43.178,44,N2 - Moderada
2012-01-20,ESTAÇÃO CENTRO,3,2012,1,20,0.0,27.027,67.126,0.293,,,,,23.23,45.167,,-22.908,-43.178,36,N1 - Boa
2012-01-21,ESTAÇÃO CENTRO,3,2012,1,21,0.0,27.525,61.512,0.28,,,,,26.002,41.083,,-22.908,-43.178,33,N1 - Boa
2012-01-22,ESTAÇÃO CENTRO,3,2012,1,22,0.0,27.831,60.193,0.211,,,,,19.607,32.083,,-22.908,-43.178,26,N1 - Boa
2012-01-23,ESTAÇÃO CENTRO,3,2012,1,23,0.0,28.442,57.088,0.462,,,,,14.859,40.292,,-22.908,-43.178,32,N1 - Boa
2012-01-24,ESTAÇÃO CENTRO,3,2012,1,24,0.0,29.175,53.908,0.334,,,,,15.158,40.833,,-22.908,-43.178,33,N1 - Boa
2012-01-25,ESTAÇÃO CENTRO,3,2012,1,25,0.0,30.48,48.696,0.552,,,,,11.063,38.625,,-22.908,-43.178,31,N1 - Boa
2012-01-26,ESTAÇÃO CENTRO,3,2012,1,26,5.0,28.629,58.624,1.232,,,,,9.851,594.708,,-22.908,-43.178,397,N5 - Péssima
2012-01-27,ESTAÇÃO CENTRO,3,2012,1,27,20.4,21.757,84.733,0.385,,,,,8.35,161.625,,-22.908,-43.178,130,N4 - Muito Ruim
2012-01-28,ESTAÇÃO CENTRO,3,2012,1,28,25.6,20.399,86.029,0.18,,,,,10.694,38.75,,-22.908,-43.178,31,N1 - Boa
2012-01-29,ESTAÇÃO CENTRO,3,2012,1,29,17.4,20.564,86.841,0.24,,,,,6.801,25.708,,-22.908,-43.178,21,N1 - Boa
2012-01-30,ESTAÇÃO CENTRO,3,2012,1,30,0.2,22.896,75.956,0.412,,,,,4.31,37.146,,-22.908,-43.178,30,N1 - Boa
2012-01-31,ESTAÇÃO CENTRO,3,2012,1,31,9.6,22.632,83.768,0.424,,,,,4.903,39.5,,-22.908,-43.178,32,N1 - Boa
2012-02-01,ESTAÇÃO CENTRO,3,2012,2,1,0.0,26.366,66.271,0.422,,,,,11.138,46.0,,-22.908,-43.178,37,N1 - Boa
