data_dia,nome_estacao,codnum,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,temp_min,temp_max,AQI,Qualidade_do_Ar
2012-01-01,ESTAÇÃO COPACABANA,1,2012,1,1,8.2,25.179,88.649,0.478,,,,3.611,10.69,46.625,,-22.965,-43.18,23.73,27.38,17,N1 - Boa
2012-01-02,ESTAÇÃO COPACABANA,1,2012,1,2,42.8,22.369,92.76,0.25,,,,1.754,7.576,35.25,,-22.965,-43.18,21.08,24.12,13,N1 - Boa
2012-01-03,ESTAÇÃO COPACABANA,1,2012,1,3,0.0,24.978,73.03,0.203,,,,4.826,10.304,45.75,,-22.965,-43.18,20.79,32.95,19,N1 - Boa
2012-01-04,ESTAÇÃO COPACABANA,1,2012,1,4,0.0,24.922,78.265,0.073,,,,2.535,17.312,48.417,,-22.965,-43.18,21.9,30.0,34,N1 - Boa
2012-01-05,ESTAÇÃO COPACABANA,1,2012,1,5,0.0,25.687,76.342,0.16,,,,4.346,21.706,48.042,,-22.965,-43.18,21.73,31.69,37,N1 - Boa
2012-01-06,ESTAÇÃO COPACABANA,1,2012,1,6,30.2,26.405,77.163,0.284,,,,5.11,19.592,46.583,,-22.965,-43.18,22.87,34.09,30,N1 - Boa
2012-01-07,ESTAÇÃO COPACABANA,1,2012,1,7,0.2,27.106,73.013,0.229,,,,5.347,13.536,45.625,,-22.965,-43.18,22.49,34.32,25,N1 - Boa
2012-01-08,ESTAÇÃO COPACABANA,1,2012,1,8,1.8,25.899,80.113,0.149,,,,6.029,25.522,44.5,,-22.965,-43.18,23.21,30.82,33,N1 - Boa
2012-01-09,ESTAÇÃO COPACABANA,1,2012,1,9,1.4,24.48,84.083,0.195,,,,2.241,9.197,32.75,,-22.965,-43.18,22.31,27.65,23,N1 - Boa
2012-01-10,ESTAÇÃO COPACABANA,1,2012,1,10,0.8,24.789,78.918,0.286,,,,6.12,8.136,46.5,,-22.965,-43.18,23.05,27.73,16,N1 - Boa
