data_dia,nome_estacao,codnum,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,AQI,Qualidade_do_Ar
2012-01-01,ESTAÇÃO IRAJÁ,5,2012,1,1,10.8,26.194,92.393,0.578,4.41,32.73,37.131,1.425,16.531,19.095,14.619,-22.832,-43.327,23,N1 - Boa
2012-01-02,ESTAÇÃO IRAJÁ,5,2012,1,2,126.8,22.994,97.58,0.5,20.776,44.004,64.777,1.415,9.202,12.583,5.083,-22.832,-43.327,14,N1 - Boa
2012-01-03,ESTAÇÃO IRAJÁ,5,2012,1,3,0.0,25.375,74.668,0.34,20.288,46.135,66.426,2.96,14.735,17.083,4.208,-22.832,-43.327,14,N1 - Boa
2012-01-04,ESTAÇÃO IRAJÁ,5,2012,1,4,0.0,27.031,70.168,0.49,28.65,55.418,84.069,4.996,19.444,41.5,15.729,-22.832,-43.327,33,N1 - Boa
2012-01-05,ESTAÇÃO IRAJÁ,5,2012,1,5,0.0,27.682,71.132,0.339,9.16,46.747,55.909,4.362,30.341,28.833,10.917,-22.832,-43.327,24,N1 - Boa
2012-01-06,ESTAÇÃO IRAJÁ,5,2012,1,6,8.4,27.974,74.189,0.408,9.927,43.29,53.205,3.899,33.236,20.958,8.271,-22.832,-43.327,23,N1 - Boa
2012-01-07,ESTAÇÃO IRAJÁ,5,2012,1,7,1.0,28.364,69.957,0.545,21.48,48.116,69.593,2.378,25.943,21.208,7.792,-22.832,-43.327,25,N1 - Boa
2012-01-08,ESTAÇÃO IRAJÁ,5,2012,1,8,13.6,27.097,78.46,0.526,4.823,45.109,49.932,3.283,32.775,29.833,15.688,-22.832,-43.327,28,N1 - Boa
2012-01-09,ESTAÇÃO IRAJÁ,5,2012,1,9,7.2,25.453,85.754,0.381,7.245,40.481,47.727,2.106,12.984,12.062,5.625,-22.832,-43.327,15,N1 - Boa
2012-01-10,ESTAÇÃO IRAJÁ,5,2012,1,10,4.0,26.517,79.998,0.435,16.28,44.79,61.077,2.532,12.031,21.938,8.062,-22.832,-43.327,18,N1 - Boa
2012-01-11,ESTAÇÃO IRAJÁ,5,2012,1,11,1.2,26.653,80.195,0.437,15.356,46.987,62.341,2.917,4.071,20.042,6.792,-22.832,-43.327,16,N1 - Boa
2012-01-12,ESTAÇÃO IRAJÁ,5,2012,1,12,0.0,28.676,69.41,0.393,15.891,43.941,59.83,5.53,2.91,24.104,6.375,-22.832,-43.327,19,N1 - Boa
2012-01-13,ESTAÇÃO IRAJÁ,5,2012,1,13,12.8,29.931,66.321,0.445,22.947,48.355,71.302,6.958,1.28,28.479,7.646,-22.832,-43.327,23,N1 - Boa
2012-01-14,ESTAÇÃO IRAJÁ,5,2012,1,14,0.0,32.393,52.997,0.609,36.792,47.219,84.012,4.767,28.749,31.208,10.958,-22.832,-43.327,27,N1 - Boa
2012-01-15,ESTAÇÃO IRAJÁ,5,2012,1,15,41.2,31.613,58.03,0.502,10.411,40.393,50.8,0.771,36.169,22.375,9.542,-22.832,-43.327,27,N1 - Boa
2012-01-16,ESTAÇÃO IRAJÁ,5,2012,1,16,30.4,27.525,84.251,0.59,18.944,61.399,80.341,13.78,51.679,34.688,16.333,-22.832,-43.327,88,N3 - Ruim
2012-01-17,ESTAÇÃO IRAJÁ,5,2012,1,17,0.0,28.707,75.311,0.58,21.715,62.42,84.135,10.25,65.689,44.25,23.333,-22.832,-43.327,155,N4 - Muito Ruim
2012-01-18,ESTAÇÃO IRAJÁ,5,2012,1,18,0.0,28.915,72.105,0.454,11.402,52.015,63.416,2.638,67.796,41.458,18.625,-22.832,-43.327,101,N3 - Ruim
2012-01-19,ESTAÇÃO IRAJÁ,5,2012,1,19,79.6,28.764,72.328,0.445,8.885,50.324,59.202,4.075,73.3,43.958,18.938,-22.832,-43.327,110,N3 - Ruim
2012-01-20,ESTAÇÃO IRAJÁ,5,2012,1,20,0.0,28.764,73.903,0.517,9.271,58.033,67.29,6.528,69.288,36.875,20.167,-22.832,-43.327,122,N4 - Muito Ruim
2012-01-21,ESTAÇÃO IRAJÁ,5,2012,1,21,0.0,30.21,65.255,0.38,6.181,39.735,45.915,7.067,70.253,33.792,12.875,-22.832,-43.327,124,N4 - Muito Ruim
2012-01-22,ESTAÇÃO IRAJÁ,5,2012,1,22,0.0,30.605,62.895,0.314,4.224,31.936,36.158,4.431,68.612,25.521,7.625,-22.832,-43.327,126,N4 - Muito Ruim
2012-01-23,ESTAÇÃO IRAJÁ,5,2012,1,23,0.0,31.326,59.869,0.317,11.998,37.39,49.39,3.798,62.22,30.833,8.125,-22.832,-43.327,110,N3 - Ruim
2012-01-24,ESTAÇÃO IRAJÁ,5,2012,1,24,0.0,32.081,54.742,0.329,13.597,35.957,49.558,3.257,44.655,28.104,8.292,-22.832,-43.327,38,N1 - Boa
2012-01-25,ESTAÇÃO IRAJÁ,5,2012,1,25,0.0,32.956,49.537,0.334,14.346,36.003,50.351,0.497,30.273,21.833,5.958,-22.832,-43.327,26,N1 - Boa
2012-01-26,ESTAÇÃO IRAJÁ,5,2012,1,26,12.8,30.574,62.7,0.49,14.666,51.289,65.944,2.174,43.407,40.771,13.208,-22.832,-43.327,39,N1 - Boa
