data_dia,nome_estacao,codnum,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,AQI_x,Qualidade_do_Ar_x,AQI_y,Qualidade_do_Ar_y
2012-01-01,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,1,32.8,25.299,92.983,,,,,,37.055,20.143,,-23.004,-43.629,17,N1 - Boa,17.0,N1 - Boa
2012-01-02,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,2,27.4,23.155,93.573,,,,,,47.929,8.667,,-23.004,-43.629,21,N1 - Boa,21.0,N1 - Boa
2012-01-03,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,3,0.0,24.197,82.005,,,,,,16.141,18.176,,-23.004,-43.629,16,N1 - Boa,16.0,N1 - Boa
2012-01-04,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,4,0.0,24.977,78.548,,,,,,34.663,31.333,,-23.004,-43.629,27,N1 - Boa,27.0,N1 - Boa
2012-01-05,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,5,0.0,24.998,80.963,,,,,,37.833,27.042,,-23.004,-43.629,26,N1 - Boa,26.0,N1 - Boa
2012-01-06,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,6,5.6,24.853,84.248,,,,,,56.183,24.625,,-23.004,-43.629,22,N1 - Boa,22.0,N1 - Boa
2012-01-07,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,7,0.0,26.777,73.654,,,,,,56.728,8.542,,-23.004,-43.629,36,N1 - Boa,36.0,N1 - Boa
2012-01-08,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,8,7.4,26.238,82.738,,,,,,54.683,33.021,,-23.004,-43.629,38,N1 - Boa,38.0,N1 - Boa
2012-01-09,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,9,6.4,25.242,84.673,,,,,,36.666,12.167,,-23.004,-43.629,30,N1 - Boa,30.0,N1 - Boa
2012-01-10,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,10,17.6,25.302,80.932,,,,,,28.139,21.792,,-23.004,-43.629,19,N1 - Boa,19.0,N1 - Boa
2012-01-11,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,11,1.6,25.095,87.553,,,,,,41.965,21.604,,-23.004,-43.629,35,N1 - Boa,35.0,N1 - Boa
2012-01-12,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,12,0.0,27.77,74.276,,,,,,33.043,33.75,,-23.004,-43.629,28,N1 - Boa,28.0,N1 - Boa
2012-01-13,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,13,0.4,28.565,68.747,,,,,,37.558,33.208,,-23.004,-43.629,28,N1 - Boa,28.0,N1 - Boa
2012-01-14,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,14,0.0,33.238,49.842,,,,,,55.731,25.571,,-23.004,-43.629,29,N1 - Boa,29.0,N1 - Boa
2012-01-15,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,15,0.2,30.897,57.94,,,,,,50.683,18.0,,-23.004,-43.629,28,N1 - Boa,28.0,N1 - Boa
2012-01-16,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,16,7.4,26.931,84.686,,,,,,49.62,17.042,,-23.004,-43.629,30,N1 - Boa,30.0,N1 - Boa
2012-01-17,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,17,0.0,27.213,83.171,,,,,,48.671,36.083,,-23.004,-43.629,50,N2 - Moderada,50.0,N2 - Moderada
2012-01-18,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,18,0.0,27.151,82.031,,,,,,68.807,33.625,,-23.004,-43.629,46,N2 - Moderada,46.0,N2 - Moderada
2012-01-19,ESTAÇÃO PEDRA DE GUARATIBA,6,2012,1,19,3.4,27.106,81.283,,,,,,64.669,37.0,,-23.004,-43.629,39,N1 - Boa,39.0,N1 - Boa
