data_dia,nome_estacao,codnum,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,AQI,Qualidade_do_Ar
2012-01-01,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,1,8.8,28.65,97.191,0.324,,,,6.038,15.082,19.833,,-22.898,-43.222,16,N1 - Boa
2012-01-02,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,2,68.4,24.915,99.812,0.288,,,,3.524,9.463,11.417,,-22.898,-43.222,9,N1 - Boa
2012-01-03,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,3,0.0,27.188,81.735,0.188,,,,7.828,15.927,21.375,,-22.898,-43.222,17,N1 - Boa
2012-01-04,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,4,0.0,28.313,76.998,0.149,,,,2.657,20.659,24.062,,-22.898,-43.222,19,N1 - Boa
2012-01-05,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,5,0.0,28.782,83.41,0.145,,,,6.512,31.086,26.25,,-22.898,-43.222,25,N1 - Boa
2012-01-06,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,6,14.8,30.273,83.142,0.31,,,,8.65,26.376,22.042,,-22.898,-43.222,22,N1 - Boa
2012-01-07,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,7,0.4,30.541,80.675,0.358,,,,10.531,27.97,18.75,,-22.898,-43.222,27,N1 - Boa
2012-01-08,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,8,1.4,29.711,85.015,0.368,,,,20.619,24.454,26.5,,-22.898,-43.222,42,N2 - Moderada
2012-01-09,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,9,1.6,27.743,92.106,0.185,,,,10.475,7.18,8.833,,-22.898,-43.222,21,N1 - Boa
2012-01-10,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,10,0.8,29.444,84.258,0.273,,,,15.209,5.358,23.875,,-22.898,-43.222,30,N1 - Boa
2012-01-11,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,11,0.6,29.266,87.147,0.207,,,,13.438,12.52,20.417,,-22.898,-43.222,27,N1 - Boa
2012-01-12,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,12,0.0,31.225,76.728,0.188,,,,16.016,11.349,22.5,,-22.898,-43.222,32,N1 - Boa
2012-01-13,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,13,0.0,33.673,71.532,0.295,,,,29.711,18.856,29.583,,-22.898,-43.222,60,N2 - Moderada
2012-01-14,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,14,0.0,36.76,57.001,0.389,,,,10.721,21.13,24.542,,-22.898,-43.222,21,N1 - Boa
2012-01-15,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,15,11.4,35.161,67.159,0.382,,,,5.682,24.869,16.438,,-22.898,-43.222,22,N1 - Boa
2012-01-16,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,16,0.6,30.901,87.542,0.37,,,,9.53,22.208,23.458,,-22.898,-43.222,21,N1 - Boa
2012-01-17,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,17,0.0,31.223,81.474,0.353,,,,10.085,25.696,40.167,,-22.898,-43.222,32,N1 - Boa
2012-01-18,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,18,0.0,31.88,78.327,0.267,,,,9.928,32.76,38.125,,-22.898,-43.222,32,N1 - Boa
2012-01-19,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,19,27.4,31.8,76.465,0.223,,,,12.891,38.479,43.458,,-22.898,-43.222,36,N1 - Boa
2012-01-20,ESTAÇÃO SÃO CRISTÓVÃO,7,2012,1,20,0.0,32.02,78.938,0.253,,,,13.928,36.287,30.333,,-22.898,-43.222,33,N1 - Boa
