data_dia,nome_estacao,codnum,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,AQI,Qualidade_do_Ar
2012-01-01,ESTAÇÃO TIJUCA,8,2012,1,1,5.2,23.226,95.108,0.124,,,,3.373,14.33,22.375,,-22.925,-43.233,18,N1 - Boa
2012-01-02,ESTAÇÃO TIJUCA,8,2012,1,2,19.0,20.066,98.163,0.264,,,,2.998,10.927,15.708,,-22.925,-43.233,13,N1 - Boa
2012-01-03,ESTAÇÃO TIJUCA,8,2012,1,3,0.0,23.855,77.53,0.162,,,,5.776,9.933,26.208,,-22.925,-43.233,21,N1 - Boa
2012-01-04,ESTAÇÃO TIJUCA,8,2012,1,4,0.0,25.741,71.502,0.171,,,,2.354,19.879,27.458,,-22.925,-43.233,22,N1 - Boa
2012-01-05,ESTAÇÃO TIJUCA,8,2012,1,5,0.0,25.865,77.911,0.103,,,,1.582,35.781,29.167,,-22.925,-43.233,26,N1 - Boa
2012-01-06,ESTAÇÃO TIJUCA,8,2012,1,6,9.6,26.692,79.013,0.161,,,,1.624,38.524,27.542,,-22.925,-43.233,24,N1 - Boa
2012-01-07,ESTAÇÃO TIJUCA,8,2012,1,7,0.4,25.957,76.215,0.123,,,,0.692,38.893,18.375,,-22.925,-43.233,30,N1 - Boa
2012-01-08,ESTAÇÃO TIJUCA,8,2012,1,8,1.2,25.467,81.948,0.138,,,,0.956,33.958,31.25,,-22.925,-43.233,27,N1 - Boa
2012-01-09,ESTAÇÃO TIJUCA,8,2012,1,9,0.4,23.365,89.299,0.137,,,,1.105,16.564,17.458,,-22.925,-43.233,20,N1 - Boa
2012-01-10,ESTAÇÃO TIJUCA,8,2012,1,10,0.6,25.426,80.751,0.188,,,,1.495,16.547,23.083,,-22.925,-43.233,18,N1 - Boa
2012-01-11,ESTAÇÃO TIJUCA,8,2012,1,11,0.4,25.185,85.556,0.158,,,,0.543,15.651,25.417,,-22.925,-43.233,20,N1 - Boa
2012-01-12,ESTAÇÃO TIJUCA,8,2012,1,12,0.0,27.66,73.61,0.12,,,,1.378,16.974,28.375,,-22.925,-43.233,23,N1 - Boa
2012-01-13,ESTAÇÃO TIJUCA,8,2012,1,13,0.0,29.992,68.068,0.16,,,,0.442,30.957,34.625,,-22.925,-43.233,31,N1 - Boa
2012-01-14,ESTAÇÃO TIJUCA,8,2012,1,14,0.0,32.404,54.545,0.079,,,,0.407,32.377,24.625,,-22.925,-43.233,24,N1 - Boa
2012-01-15,ESTAÇÃO TIJUCA,8,2012,1,15,17.6,29.875,67.441,0.144,,,,0.397,34.746,24.667,,-22.925,-43.233,24,N1 - Boa
2012-01-16,ESTAÇÃO TIJUCA,8,2012,1,16,0.2,27.033,83.327,0.181,,,,0.923,46.235,32.25,,-22.925,-43.233,36,N1 - Boa
2012-01-17,ESTAÇÃO TIJUCA,8,2012,1,17,0.0,28.539,74.537,0.337,,,,1.239,34.028,40.458,,-22.925,-43.233,34,N1 - Boa
2012-01-18,ESTAÇÃO TIJUCA,8,2012,1,18,0.0,29.04,72.639,0.362,,,,3.316,39.166,49.917,,-22.925,-43.233,40,N1 - Boa
2012-01-19,ESTAÇÃO TIJUCA,8,2012,1,19,5.4,28.94,71.515,0.356,,,,7.948,43.704,56.083,,-22.925,-43.233,46,N2 - Moderada
2012-01-20,ESTAÇÃO TIJUCA,8,2012,1,20,0.2,27.906,76.804,0.197,,,,1.58,56.758,39.0,,-22.925,-43.233,79,N2 - Moderada
2012-01-21,ESTAÇÃO TIJUCA,8,2012,1,21,0.0,29.077,70.1,0.154,,,,12.315,49.119,39.667,,-22.925,-43.233,63,N2 - Moderada
2012-01-22,ESTAÇÃO TIJUCA,8,2012,1,22,0.0,29.856,66.65,0.1,,,,2.198,47.748,37.333,,-22.925,-43.233,34,N1 - Boa
2012-01-23,ESTAÇÃO TIJUCA,8,2012,1,23,0.0,30.748,64.251,0.14,,,,4.163,40.075,35.917,,-22.925,-43.233,31,N1 - Boa
2012-01-24,ESTAÇÃO TIJUCA,8,2012,1,24,0.0,31.513,59.31,0.251,,,,5.733,31.247,35.5,,-22.925,-43.233,28,N1 - Boa
