data_dia,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,AQI,Qualidade_do_Ar
2012-01-01,2012,1,1,12.25,25.835,92.165,0.426,3.613,23.52,27.13,2.673,23.059,23.925,14.619,21,1
2012-01-02,2012,1,2,56.05,22.836,95.589,0.305,12.675,27.16,39.842,1.794,20.136,13.872,5.083,17,1
2012-01-03,2012,1,3,0.025,24.948,76.139,0.26,17.175,28.731,45.883,3.918,15.718,24.064,4.208,21,1
2012-01-04,2012,1,4,0.05,26.006,72.904,0.275,24.746,40.338,65.049,3.124,25.002,35.773,15.729,28,1
2012-01-05,2012,1,5,0.0,26.498,75.514,0.271,16.643,34.914,51.559,3.066,33.646,32.901,10.917,33,1
2012-01-06,2012,1,6,16.3,27.08,77.411,0.334,11.533,36.524,48.052,4.375,33.806,26.87,8.271,26,1
2012-01-07,2012,1,7,0.3,27.636,71.902,0.322,11.102,26.619,37.715,3.487,34.904,21.419,7.792,31,1
2012-01-08,2012,1,8,10.275,26.417,81.172,0.36,7.389,34.926,42.315,6.188,38.253,30.77,15.688,33,1
2012-01-09,2012,1,9,2.9,25.065,85.36,0.279,13.514,33.757,47.281,3.066,17.82,15.976,5.625,22,1
2012-01-10,2012,1,10,7.625,26.069,79.222,0.357,23.943,38.339,62.284,4.586,14.593,27.102,8.062,23,1
2012-01-11,2012,1,11,0.7,25.975,82.192,0.349,15.422,40.156,55.576,4.823,18.569,28.024,6.792,27,1
2012-01-12,2012,1,12,0.0,28.18,71.354,0.324,21.916,37.328,59.257,6.845,16.916,32.815,6.375,30,1
2012-01-13,2012,1,13,5.35,29.928,66.715,0.368,23.456,36.131,59.584,8.618,20.936,35.081,7.646,34,1
2012-01-14,2012,1,14,0.525,32.712,52.977,0.345,20.789,32.965,54.16,4.789,27.549,31.15,10.958,29,1
2012-01-15,2012,1,15,11.8,31.148,59.926,0.379,9.08,26.821,35.896,2.637,32.451,23.804,9.542,25,1
2012-01-16,2012,1,16,6.7,27.62,81.468,0.417,12.22,41.514,53.744,6.113,36.929,28.607,16.333,37,1
2012-01-17,2012,1,17,0.0,28.135,76.811,0.446,20.911,50.842,71.76,6.831,41.622,42.63,23.333,79,2
