objectid,data,estação,estacao_nome,poluente,classificação,iqar,codnum
59230,2017/01/01 03:00:00+00,CA,Centro,O3,Regular,82,3
59231,2017/01/01 03:00:00+00,AV,Copacabana,MP10,Regular,68,1
59232,2017/01/01 03:00:00+00,SC,São Cristóvão,O3,Regular,86,7
59233,2017/01/01 03:00:00+00,SP,Tijuca,O3,Regular,100,8
59234,2017/01/01 03:00:00+00,IR,Irajá,MP10,Boa,40,5
59235,2017/01/01 03:00:00+00,BG,Bangu,O3,Inadequada,114,2
59236,2017/01/01 03:00:00+00,CG,Campo Grande,O3,Regular,72,4
59237,2017/01/01 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,87,6
59238,2017/01/01 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,O3,Regular,93,
59239,2017/01/02 03:00:00+00,CA,Centro,O3,Regular,66,3
59240,2017/01/02 03:00:00+00,AV,Copacabana,MP10,Regular,61,1
59241,2017/01/02 03:00:00+00,SC,São Cristóvão,O3,Regular,86,7
59242,2017/01/02 03:00:00+00,SP,Tijuca,O3,Inadequada,101,8
59243,2017/01/02 03:00:00+00,IR,Irajá,MP10,Boa,46,5
59244,2017/01/02 03:00:00+00,BG,Bangu,O3,Regular,86,2
59245,2017/01/02 03:00:00+00,CG,Campo Grande,O3,Regular,80,4
59246,2017/01/02 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,73,6
59247,2017/01/02 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,O3,Regular,86,
59248,2017/01/03 03:00:00+00,CA,Centro,O3,Boa,40,3
59249,2017/01/03 03:00:00+00,AV,Copacabana,MP10,Regular,56,1
59250,2017/01/03 03:00:00+00,SC,São Cristóvão,O3,Boa,47,7
59251,2017/01/03 03:00:00+00,SP,Tijuca,NO2,Boa,47,8
59252,2017/01/03 03:00:00+00,IR,Irajá,MP10,Boa,29,5
59253,2017/01/03 03:00:00+00,BG,Bangu,O3,Regular,61,2
59254,2017/01/03 03:00:00+00,CG,Campo Grande,O3,Boa,49,4
59255,2017/01/03 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,48,6
59256,2017/01/03 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,O3,Regular,67,
59257,2017/01/04 03:00:00+00,CA,Centro,O3,Boa,41,3
59258,2017/01/04 03:00:00+00,AV,Copacabana,MP10,Regular,54,1
59259,2017/01/04 03:00:00+00,SC,São Cristóvão,O3,Regular,53,7
59260,2017/01/04 03:00:00+00,SP,Tijuca,O3,Regular,53,8
59261,2017/01/04 03:00:00+00,IR,Irajá,MP10,Boa,33,5
59262,2017/01/04 03:00:00+00,BG,Bangu,O3,Regular,82,2
59263,2017/01/04 03:00:00+00,CG,Campo Grande,O3,Boa,49,4
59264,2017/01/04 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,60,6
59265,2017/01/04 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,O3,Regular,76,
59266,2017/01/05 03:00:00+00,CA,Centro,O3,Regular,51,3
59267,2017/01/05 03:00:00+00,AV,Copacabana,MP10,Regular,66,1
59268,2017/01/05 03:00:00+00,SC,São Cristóvão,O3,Regular,81,7
59269,2017/01/05 03:00:00+00,SP,Tijuca,O3,Regular,94,8
59270,2017/01/05 03:00:00+00,IR,Irajá,MP10,Boa,41,5
59271,2017/01/05 03:00:00+00,BG,Bangu,O3,Regular,88,2
59272,2017/01/05 03:00:00+00,CG,Campo Grande,O3,Regular,55,4
59273,2017/01/05 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,72,6
59274,2017/01/05 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,O3,Inadequada,176,
59275,2017/01/06 03:00:00+00,CA,Centro,O3,Regular,59,3
59276,2017/01/06 03:00:00+00,AV,Copacabana,MP10,Regular,53,1
59277,2017/01/06 03:00:00+00,SC,São Cristóvão,O3,Regular,64,7
59278,2017/01/06 03:00:00+00,SP,Tijuca,O3,Regular,62,8
59279,2017/01/06 03:00:00+00,IR,Irajá,NO2,Boa,41,5
59280,2017/01/06 03:00:00+00,BG,Bangu,,Indisponível,,2
59281,2017/01/06 03:00:00+00,CG,Campo Grande,O3,Regular,67,4
59282,2017/01/06 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,81,6
59283,2017/01/06 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,O3,Inadequada,142,
59284,2017/01/07 03:00:00+00,CA,Centro,,Indisponível,,3
59285,2017/01/07 03:00:00+00,AV,Copacabana,O3,Regular,53,1
59286,2017/01/07 03:00:00+00,SC,São Cristóvão,O3,Regular,82,7
59287,2017/01/07 03:00:00+00,SP,Tijuca,O3,Regular,65,8
59288,2017/01/07 03:00:00+00,IR,Irajá,MP10,Boa,30,5
59289,2017/01/07 03:00:00+00,BG,Bangu,,Indisponível,,2
59290,2017/01/07 03:00:00+00,CG,Campo Grande,O3,Regular,63,4
59291,2017/01/07 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,22,6
59292,2017/01/07 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,53,
59293,2017/01/08 03:00:00+00,CA,Centro,,Indisponível,,3
59294,2017/01/08 03:00:00+00,AV,Copacabana,O3,Regular,59,1
59295,2017/01/08 03:00:00+00,SC,São Cristóvão,O3,Regular,63,7
59296,2017/01/08 03:00:00+00,SP,Tijuca,,Indisponível,,8
59297,2017/01/08 03:00:00+00,IR,Irajá,NO2,Boa,25,5
59298,2017/01/08 03:00:00+00,BG,Bangu,NO2,Boa,14,2
59299,2017/01/08 03:00:00+00,CG,Campo Grande,O3,Boa,43,4
59300,2017/01/08 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,16,6
59301,2017/01/08 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Boa,46,
59302,2017/01/09 03:00:00+00,CA,Centro,,Indisponível,,3
59303,2017/01/09 03:00:00+00,AV,Copacabana,MP10,Regular,56,1
59304,2017/01/09 03:00:00+00,SC,São Cristóvão,O3,Regular,87,7
59305,2017/01/09 03:00:00+00,SP,Tijuca,,Indisponível,,8
59306,2017/01/09 03:00:00+00,IR,Irajá,MP10,Boa,30,5
59307,2017/01/09 03:00:00+00,BG,Bangu,O3,Inadequada,113,2
59308,2017/01/09 03:00:00+00,CG,Campo Grande,O3,Regular,64,4
59309,2017/01/09 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,74,6
59310,2017/01/09 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Boa,50,
59311,2017/01/10 03:00:00+00,CA,Centro,MP10,Boa,35,3
59312,2017/01/10 03:00:00+00,AV,Copacabana,O3,Regular,64,1
59313,2017/01/10 03:00:00+00,SC,São Cristóvão,O3,Regular,100,7
59314,2017/01/10 03:00:00+00,SP,Tijuca,,Indisponível,,8
59315,2017/01/10 03:00:00+00,IR,Irajá,MP10,Boa,35,5
59316,2017/01/10 03:00:00+00,BG,Bangu,O3,Regular,83,2
