data_dia,num_internacoes
2012-01-01,507
2012-01-02,728
2012-01-03,429
2012-01-04,416
2012-01-05,403
2012-01-06,520
2012-01-07,299
2012-01-08,390
2012-01-09,442
2012-01-10,546
2012-01-11,494
2012-01-12,468
2012-01-13,377
2012-01-14,403
2012-01-15,260
2012-01-16,572
2012-01-17,390
2012-01-18,403
2012-01-19,572
2012-01-20,507
2012-01-21,377
2012-01-22,156
2012-01-23,585
2012-01-24,494
2012-01-25,481
2012-01-26,377
2012-01-27,351
2012-01-28,221
2012-01-29,429
2012-01-30,299
2012-01-31,338
2012-02-01,260
2012-02-02,416
2012-02-03,481
2012-02-04,351
2012-02-05,286
2012-02-06,624
2012-02-07,468
2012-02-08,637
2012-02-09,455
2012-02-10,351
2012-02-11,312
2012-02-12,559
2012-02-13,442
2012-02-14,533
2012-02-15,481
2012-02-16,546
2012-02-17,377
2012-02-18,312
2012-02-19,351
2012-02-20,325
2012-02-21,338
2012-02-22,364
2012-02-23,559
2012-02-24,585
2012-02-25,507
2012-02-26,403
2012-02-27,884
2012-02-28,663
2012-02-29,429
2012-03-01,585
2012-03-02,650
2012-03-03,351
2012-03-04,312
2012-03-05,637
2012-03-06,416
2012-03-07,494
2012-03-08,533
2012-03-09,572
2012-03-10,351
2012-03-11,325
2012-03-12,585
2012-03-13,754
2012-03-14,546
2012-03-15,559
2012-03-16,442
2012-03-17,546
2012-03-18,442
2012-03-19,689
2012-03-20,676
2012-03-21,676
2012-03-22,663
2012-03-23,780
2012-03-24,455
2012-03-25,468
2012-03-26,936
2012-03-27,832
2012-03-28,728
2012-03-29,832
2012-03-30,598
2012-03-31,403
2012-04-01,454
2012-04-02,884
2012-04-03,715
2012-04-04,767
2012-04-05,494
2012-04-06,663
2012-04-07,481
2012-04-08,455
2012-04-09,975
2012-04-10,702
2012-04-11,689
2012-04-12,910
2012-04-13,728
2012-04-14,455
2012-04-15,546
2012-04-16,806
2012-04-17,1053
2012-04-18,598
2012-04-19,702
2012-04-20,559
2012-04-21,689
2012-04-22,559
2012-04-23,611
2012-04-24,975
2012-04-25,1014
2012-04-26,741
2012-04-27,1066
2012-04-28,910
2012-04-29,585
2012-04-30,767
2012-05-01,572
2012-05-02,962
2012-05-03,949
2012-05-04,806
2012-05-05,546
2012-05-06,429
2012-05-07,962
2012-05-08,910
2012-05-09,819
2012-05-10,1001
2012-05-11,975
2012-05-12,689
2012-05-13,637
2012-05-14,1196
2012-05-15,975
2012-05-16,910
2012-05-17,1118
2012-05-18,1170
2012-05-19,572
2012-05-20,715
2012-05-21,1066
2012-05-22,1209
2012-05-23,1222
2012-05-24,1066
2012-05-25,1118
2012-05-26,702
2012-05-27,819
2012-05-28,1261
2012-05-29,1040
2012-05-30,1170
2012-05-31,754
2012-06-01,871
2012-06-02,728
2012-06-03,559
2012-06-04,1066
2012-06-05,1105
2012-06-06,936
2012-06-07,585
2012-06-08,546
2012-06-09,507
2012-06-10,663
2012-06-11,845
2012-06-12,1014
2012-06-13,689
2012-06-14,923
2012-06-15,806
2012-06-16,624
2012-06-17,559
2012-06-18,975
2012-06-19,858
2012-06-20,1001
2012-06-21,650
2012-06-22,806
2012-06-23,689
2012-06-24,572
2012-06-25,1131
2012-06-26,832
2012-06-27,702
2012-06-28,741
2012-06-29,806
2012-06-30,520
2012-07-01,663
2012-07-02,949
2012-07-03,832
2012-07-04,845
2012-07-05,650
2012-07-06,715
2012-07-07,493
2012-07-08,637
2012-07-09,858
2012-07-10,793
2012-07-11,897
2012-07-12,624
2012-07-13,715
2012-07-14,429
2012-07-15,455
2012-07-16,701
2012-07-17,806
2012-07-18,676
2012-07-19,559
2012-07-20,676
2012-07-21,455
2012-07-22,481
2012-07-23,637
2012-07-24,689
2012-07-25,650
2012-07-26,831
2012-07-27,676
2012-07-28,416
2012-07-29,403
2012-07-30,585
2012-07-31,611
2012-08-01,648
2012-08-02,429
2012-08-03,572
2012-08-04,403
2012-08-05,286
2012-08-06,689
2012-08-07,507
2012-08-08,663
2012-08-09,559
2012-08-10,596
2012-08-11,337
2012-08-12,299
2012-08-13,520
2012-08-14,611
2012-08-15,533
2012-08-16,636
2012-08-17,468
2012-08-18,455
2012-08-19,312
2012-08-20,727
2012-08-21,754
2012-08-22,507
2012-08-23,715
2012-08-24,414
2012-08-25,325
2012-08-26,260
2012-08-27,688
2012-08-28,481
2012-08-29,520
2012-08-30,571
2012-08-31,416
2012-09-01,494
2012-09-02,429
2012-09-03,688
2012-09-04,494
2012-09-05,623
2012-09-06,676
2012-09-07,546
2012-09-08,494
2012-09-09,377
2012-09-10,702
